LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF,lables
1714,15363852,0,0.02,0,0,3.51,3.51,0,0,3,0
1796,15463812,0,0.02,0,0,3.54,3.54,0,0,3,0
1875,15563772,0,0.02,0,0,3.56,3.56,0,0,3,0
1954,15663732,0,0.02,0,0,3.58,3.58,0,0,3,0
2033,15763692,0,0.02,0,0,3.6,3.6,0,0,3,0
2114,15863652,0,0.02,0,0,3.61,3.61,0,0,3,0
2194,15963612,0,0.02,0,0,3.63,3.63,0,0,3,0
2274,16063572,0,0.02,0,0,3.64,3.64,0,0,3,0
2353,16163532,0,0.02,0,0,3.65,3.65,0,0,3,0
2434,16263492,0,0.02,0,0.01,3.66,3.66,0,0,3,0
2516,16363452,0,0.02,0,0.01,3.67,3.67,0,0,3,0
2596,16463412,0,0.02,0,0.01,3.68,3.68,0,0,3,0
2675,16563372,0,0.02,0,0.01,3.69,3.69,0,0,3,0
2754,16663332,0,0.02,0,0.01,3.69,3.69,0,0,3,0
2833,16763292,0,0.02,0,0.01,3.7,3.7,0,0,3,0
2914,16864085,0,0.02,0,0.01,3.71,3.71,0,0,3,0
2994,16964045,0,0.02,0,0.01,3.71,3.71,0,0,3,0
3074,17064005,0,0.02,0,0.01,3.72,3.72,0,0,3,0
3153,17163965,0,0.02,0,0.01,3.72,3.72,0,0,3,0
3235,17263925,0,0.02,0,0.01,3.72,3.72,0,0,3,0
3317,17363885,0,0.02,0,0.01,3.72,3.72,0,0,3,0
3397,17463845,0,0.02,0,0.01,3.71,3.71,0,0,3,0
3476,17563805,0,0.02,0,0.01,3.71,3.71,0,0,3,0
3555,17663765,0,0.02,0,0.01,3.71,3.71,0,0,3,0
3634,17763725,0,0.02,0,0.01,3.7,3.7,0,0,3,0
3715,17863685,0,0.02,0,0.01,3.7,3.7,0,0,3,0
3795,17963645,0,0.02,0,0.01,3.69,3.69,0,0,3,0
3875,18063605,0,0.02,0,0.01,3.69,3.69,0,0,3,0
3954,18163565,0,0.02,0,0.01,3.68,3.68,0,0,3,0
4035,18263525,0,0.02,0,0.01,3.68,3.68,0,0,3,0
4117,18363485,0,0.02,0,0.01,3.67,3.67,0,0,3,0
4197,18463445,0,0.02,0,0.01,3.66,3.66,0,0,3,0
4276,18563405,0,0.02,0,0.01,3.65,3.65,0,0,3,0
4361,18663365,0,0.02,0,0.01,3.65,3.65,0,0,3,0
4440,18763325,0,0.02,0,0.01,3.64,3.64,0,0,3,0
4521,18863285,0,0.02,0,0.01,3.63,3.63,0,0,3,0
4601,18964078,0,0.02,0,0.01,3.62,3.62,0,0,3,0
4681,19064038,0,0.03,0,0.01,3.61,3.61,0,0,3,0
4760,19163998,0,0.03,0,0.01,3.6,3.6,0,0,3,0
