LineNo,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,labels
186120,238603687,0,6,547888600,2232,10,1.21,-35.3609875,149.1633259,48.64,1.7,29.63562,-1.197,0,1,0
70202,109203801,0,1,547759200,2232,3,1.21,-35.362661,149.1625928,39.94,3.885,327.2096,0.031,0,1,1
37211,72603447,0,6,547722600,2232,10,1.21,-35.3632862,149.163059,39.94,0.025,303.8013,-0.009,0,1,0
426537,505803431,0,6,548155800,2232,10,1.21,-35.3632836,149.1630611,20.39,0,258.6222,0,0,1,4
319397,386803550,0,6,548036800,2232,10,1.21,-35.3618904,149.165704,18.51,0,336.5852,0,0,1,3
385484,460203345,0,6,548110200,2232,10,1.21,-35.3632747,149.1639265,39.4,9.984,269.308,-0.003,0,1,4
259503,320203534,0,6,547970200,2232,10,1.21,-35.3614007,149.1653201,39.02,1.03,149.9513,-0.138,0,1,0
49829,86603678,0,6,547736600,2232,10,1.21,-35.3630412,149.162875,39.87,1.455,327.6384,-0.005,0,1,0
258601,319203934,0,6,547969200,2232,10,1.21,-35.3613888,149.1653122,38.99,2.049,151.6103,0.039,0,1,0
386566,461403698,0,6,548111400,2232,10,1.21,-35.3632761,149.1637943,39.4,9.997001,269.2372,-0.001,0,1,4
390528,465803604,0,6,548115800,2232,10,1.21,-35.3632813,149.163311,39.4,9.654,269.0293,-0.001,0,1,4
46762,83203372,0,6,547733200,2232,10,1.21,-35.3631139,149.1629313,39.82,1.175,330.4346,-0.061,0,1,0
309313,375603865,0,6,548025600,2232,10,1.21,-35.3618904,149.165704,18.51,0,294.1483,0,0,1,3
412849,490603680,0,6,548140600,2232,10,1.21,-35.3632835,149.1630612,27.18,0.016,120.7575,0.487,0,1,4
204992,259603617,0,6,547909600,2232,10,1.21,-35.3610171,149.1640536,40.9,5.706,105.4863,-0.781,0,1,2
191149,244203946,0,6,547894200,2232,10,1.21,-35.3609745,149.163453,47.17,3.519,110.1418,1.528,0,1,2
77013,116803260,0,1,547766800,2232,3,1.21,-35.362532,149.1624749,39.92,1.291,319.5397,-0.008,0,1,1
88227,129404051,0,1,547779400,2232,3,1.21,-35.3619955,149.1621055,39.55,10.704,329.9481,0.183,0,1,1
76658,116403420,0,1,547766400,2232,3,1.21,-35.3625359,149.162479,39.92,1.616,319.4525,-0.011,0,1,1
337232,406603960,0,6,548056600,2232,10,1.21,-35.3622976,149.1656269,31.81,10.173,193.0405,-1.208,0,1,0
226752,283803933,0,6,547933800,2232,10,1.21,-35.3609722,149.1648098,41.93,8.798,23.43839,-1.367,0,1,2
96233,138403783,0,1,547788400,2232,3,1.21,-35.3611582,149.1614794,41.17,12.296,329.9106,-0.067,0,1,1
418972,497403459,0,6,548147400,2232,10,1.21,-35.3632836,149.1630611,23.89,0.007,297.2444,0.483,0,1,4
128148,174203624,0,6,547824200,2232,10,1.21,-35.3588145,149.1602702,41.32,9.151,147.0263,-0.013,0,1,0
163066,213003931,0,6,547863000,2232,10,1.21,-35.3611049,149.1629154,41.42,3.008,41.23229,0.04,0,1,0
251578,311403722,0,6,547961400,2232,10,1.21,-35.3612528,149.165209,39.51,0.55,147.1418,-0.015,0,1,0
437352,519203902,0,6,548169200,2232,10,1.21,-35.3632836,149.1630611,20.39,0,147.6304,0,0,1,4
369645,442603721,0,6,548092600,2232,10,1.21,-35.3632599,149.1652351,39.6,0.017,212.5039,0.002,0,1,0
321019,388603663,0,6,548038600,2232,10,1.21,-35.3618904,149.165704,18.51,0,21.53602,0,0,1,3
143991,191804081,0,6,547841800,2232,10,1.21,-35.3600854,149.161388,41.38,9.976001,141.6691,-0.007,0,1,0
52351,89403391,0,6,547739400,2232,10,1.21,-35.3630032,149.1628514,39.94,3.983,334.6127,-0.011,0,1,0
288319,352204062,0,6,548002200,2232,10,1.21,-35.3618784,149.1657013,30.82,1.677,144.31,7.218,0,1,3
219020,275204041,0,6,547925200,2232,10,1.21,-35.3610165,149.1645351,39.97,4.802,39.70974,-0.09500001,0,1,2
226032,283003420,0,6,547933000,2232,10,1.21,-35.3610232,149.1647792,41.12,6.456,27.94145,-0.749,0,1,2
150654,199203620,0,6,547849200,2232,10,1.21,-35.3605772,149.1619327,41.36,9.941001,134.4257,-0.006,0,1,0
106373,149803388,0,1,547799800,2232,3,1.21,-35.3601473,149.1608392,40.85,10.073,335.1218,-0.037,0,1,1
378289,452204046,0,6,548102200,2232,10,1.21,-35.3632659,149.1647985,39.48,9.695001,269.1823,0.014,0,1,4
379553,453603486,0,6,548103600,2232,10,1.21,-35.3632672,149.1646481,39.45,9.807,269.4131,0.02,0,1,4
46224,82603612,0,6,547732600,2232,10,1.21,-35.3631174,149.1629336,39.79,0.636,330.2439,-0.01,0,1,0
330564,399203588,0,6,548049200,2232,10,1.21,-35.3619069,149.1657243,20.42,4.269,122.5587,-2.558,0,1,0
195281,248803772,0,6,547898800,2232,10,1.21,-35.3610293,149.1636466,39.03,5.887,140.6089,-0.399,0,1,2
191686,244803706,0,6,547894800,2232,10,1.21,-35.3609871,149.1634752,46.06,4.799,136.046,2.142,0,1,2
190615,243603353,0,6,547893600,2232,10,1.21,-35.3609749,149.1634326,47.85,3.117,62.80892,0.702,0,1,2
13332,46004091,0,6,547696000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
196003,249603452,0,6,547899600,2232,10,1.21,-35.3610566,149.1636804,39.56,3.947,114.839,-0.772,0,1,2
55418,92803697,0,6,547742800,2232,10,1.21,-35.3629433,149.1628172,39.92,0.628,336.3432,0.075,0,1,0
332365,401203621,0,6,548051200,2232,10,1.21,-35.3619315,149.1657399,24.48,3.627,229.8448,-1.35,0,1,0
161451,211203818,0,6,547861200,2232,10,1.21,-35.3611128,149.1628825,41.48,2.479,98.5223,-0.006,0,1,0
187013,239603287,0,6,547889600,2232,10,1.21,-35.3609865,149.1633553,48.84,4.378,108.2875,0.664,0,1,0
289402,353403582,0,6,548003400,2232,10,1.21,-35.3618923,149.165706,21.14,1.108,180.5898,8.370001,0,1,3
322459,390203856,0,6,548040200,2232,10,1.21,-35.3618904,149.165704,18.51,0,175.7126,0,0,1,3
333991,403003734,0,6,548053000,2232,10,1.21,-35.3620041,149.1656894,26.98,6.99,194.4056,-1.387,0,1,0
123467,169004038,0,6,547819000,2232,10,1.21,-35.3586219,149.1601073,41.18,3.03,329.0093,0.037,0,1,0
185758,238203847,0,6,547888200,2232,10,1.21,-35.3609946,149.1633263,47.96,2.705,337.8272,-2.197,0,1,0
254460,314603275,0,6,547964600,2232,10,1.21,-35.3613168,149.1652619,39.18,1.807,145.4346,0.007,0,1,0
102638,145603402,0,1,547795600,2232,3,1.21,-35.3605006,149.1610484,40.8,10.777,333.3734,0.052,0,1,1
305890,371803719,0,6,548021800,2232,10,1.21,-35.3618904,149.165704,18.51,0,145.1452,0,0,1,3
303367,369004006,0,6,548019000,2232,10,1.21,-35.3618904,149.165704,18.51,0.001,139.2349,0,0,1,3
278232,341003544,0,6,547991000,2232,10,1.21,-35.3617068,149.1655533,38.41,0.456,149.6553,0.043,0,1,0
372170,445403434,0,6,548095400,2232,10,1.21,-35.3632604,149.1652336,39.59,0.322,266.1992,-0.006,0,1,0
212011,267403829,0,6,547917400,2232,10,1.21,-35.3610446,149.1643045,40.56,3.697,26.83541,1.923,0,1,2
330926,399603428,0,6,548049600,2232,10,1.21,-35.3619131,149.1657399,21.61,3.447,110.9791,-3.147,0,1,0
