LineNo,abTimeUS,abI,abGyrX,abGyrY,abGyrZ,abAccX,abAccY,abAccZ,abEG,abEA,abT,abGH,abAH,abGHz,abAHz,labels
14707,47623443,0,0.00065198,0.00069927,0.00066403,-0.0016249,-0.00052873,-9.817689,0,0,27.83643,1,1,1000,1000,0
294758,359383689,0,3.323413,-5.883018,-6.913023,0.5287579,-1.198488,-6.869982,0,0,38.9286,1,1,999,999,3
288150,352023301,0,4.78349,-6.518798,-28.44628,-0.08033256,-0.05414242,-8.466424,0,0,38.77781,1,1,999,999,3
265078,326383561,0,1.152616,-2.402375,-0.1175818,-0.3285731,0.03687011,-10.05832,0,0,38.22263,1,1,999,999,0
105572,148903748,0,1.405822,-2.136524,0.03320768,-5.092781,-0.06426545,-8.41171,0,0,32.75413,1,1,1000,1000,1
337042,406384048,0,2.900586,-0.8078605,0.1057444,-4.811216,0.00449875,-8.781097,0,0,39.80902,1,1,1000,1000,0
78073,117983621,0,-1.604258,1.890221,0.3322521,-0.5803494,0.0002201,-10.21653,0,0,31.42465,1,1,1000,1000,1
8795,24183656,0,0.00027658,0.00029987,0.00033378,-0.00106714,-0.00127743,-9.816331,0,0,26.4416,1,1,999,999,0
147682,195903274,0,-2.509628,-0.9162223,0.05263082,-4.793435,-0.1022027,-8.323733,0,0,34.52991,1,1,1000,1000,0
299582,364784028,0,0.00345874,0.00339795,-0.00419748,0.03682521,-0.01011898,-9.817811,0,0,39.03691,1,1,999,999,3
359666,431543980,0,2.235902,1.173379,0.07861765,-1.342689,0.02804528,-9.815422,0,0,40.22662,1,1,1000,1000,0
429726,509743521,0,0.00119746,0.00138108,0.00133023,-0.00152051,-0.0010512,-9.816812,0,0,41.32193,1,1,999,999,4
263533,324663416,0,-2.292492,0.6661175,0.04931458,-0.434291,-0.03067941,-9.809277,0,0,38.18366,1,1,999,999,0
133102,179703923,0,-0.6908203,-2.63633,0.03811637,-4.806728,0.04114096,-8.381063,0,0,33.94899,1,1,999,999,0
404295,481103315,0,-2.176195,0.3319326,0.03698797,-0.04496014,-0.02010468,-9.840961,0,0,40.95349,1,1,1000,1000,4
161921,211743602,0,-0.2095741,-2.749242,-0.1372057,-0.3310932,0.02045266,-9.749883,0,0,35.06839,1,1,1000,1000,0
394598,470343454,0,1.890967,-1.535657,0.04854424,0.01526582,-0.02826611,-9.831034,0,0,40.80572,1,1,999,999,4
345444,415743636,0,-2.453661,-0.9767109,0.2342952,-0.3270321,-0.06201089,-10.31941,0,0,39.96848,1,1,999,999,0
293083,357503608,0,0.00485513,-0.07674144,-0.00532375,0.1983211,-2.044458,-8.130572,0,0,38.89043,1,1,999,999,3
10257,26023753,0,0.00036349,0.0003542,0.00039778,-0.00185158,-0.00029528,-9.817902,0,0,26.55508,1,1,999,999,0
373317,446663763,0,-0.9806749,-2.280039,0.03703909,-0.2447407,-0.5731903,-10.05507,0,0,40.46123,1,1,1000,1000,4
296187,360983882,0,0.00342405,0.00341563,-0.00287835,0.01623904,0.01569483,-9.825611,0,0,38.9609,1,1,1000,1000,3
172963,223983704,0,2.345948,0.14481,-0.6373254,-1.690662,0.1037671,-9.864856,0,0,35.46545,1,1,999,999,0
125898,171703791,0,-0.4278468,-2.699523,0.1492549,-2.292444,0.4159136,-9.64106,0,0,33.65033,1,1,1000,1000,0
164697,214824036,0,-1.89848,-1.452287,-0.1786827,-0.7185394,-0.0326601,-9.838511,0,0,35.16984,1,1,999,999,0
196611,250264021,0,2.216412,-1.610118,-0.04615473,1.000002,1.000001,1.000002,0,0,36.26514,1,1,1000,1000,2
286687,350383957,0,3.286005,-3.590502,-1.855291,-0.1663652,-0.02286171,-5.943768,0,0,38.7437,1,1,999,999,3
132941,179543987,0,2.194834,1.692305,0.04121881,-4.991308,0.01866746,-8.663632,0,0,33.94309,1,1,999,999,0
26393,60584090,0,0.05733452,-1.988663,0.03246483,-0.05131685,0.00736315,-9.175395,0,0,28.56211,1,1,1000,1000,0
190164,243103553,0,0.08680955,2.549069,-0.3799633,1.000002,1.000001,1.000002,0,0,36.05416,1,1,1000,1000,2
378821,452783814,0,-2.674091,-0.03915681,0.04973368,-1.585771,-4.082142,-8.944255,0,0,40.55289,1,1,999,999,4
340745,410504066,0,-1.411822,-2.312602,0.04543323,-3.293983,-0.01857891,-8.427624,0,0,39.87982,1,1,999,999,0
408996,486343718,0,-1.347743,1.920501,0.05147879,0.0329714,0.02141055,-9.813384,0,0,41.02355,1,1,1000,1000,4
399894,476223601,0,0.02928945,2.369785,0.03887814,-0.00441098,0.05035701,-9.804292,0,0,40.88713,1,1,1000,1000,4
292821,357223720,0,0.02358944,-1.332699,-0.01350717,1.790886,5.123458,-15.30031,0,0,38.88473,1,1,999,999,3
4905,19343926,0,0.00031542,0.00019539,0.00020381,-0.00025319,-0.00153506,-9.816398,0,0,26.13977,1,1,999,999,0
56608,94143994,0,-1.789865,-1.162522,0.1692227,-1.496068,-0.01507108,-9.73626,0,0,30.30184,1,1,1000,1000,0
188986,241784081,0,3.312592,-0.08011934,0.1018414,1.000002,1.000001,1.000002,0,0,36.01471,1,1,999,999,2
175863,227224074,0,-1.132275,2.181986,0.1213629,-0.5476013,-0.05388626,-10.27178,0,0,35.56787,1,1,999,999,0
12425,28743498,0,0.00040568,0.00040426,0.00044379,-0.00101326,-0.00152143,-9.817997,0,0,26.72156,1,1,1000,1000,0
26772,61023914,0,0.914343,1.966429,0.03206585,0.02747105,-0.01772329,-9.370064,0,0,28.5862,1,1,1000,1000,0
49376,86103878,0,-1.972092,1.199624,0.04969073,-0.5748382,0.02362606,-9.860671,0,0,29.90261,1,1,1000,1000,0
286164,349823348,0,-2.303008,0.679711,0.04870682,-0.331149,-0.02288223,-9.86488,0,0,38.73201,1,1,999,999,0
319307,386703590,0,0.00304374,0.00310198,-0.01711221,0.01599884,-0.01024117,-9.816757,0,0,39.45708,1,1,1000,1000,3
224866,281703940,0,-1.736591,-1.657263,-0.1102249,1.000002,1.000001,1.000002,0,0,37.13422,1,1,999,999,2
129139,175304017,0,-0.8249614,-2.558753,0.1085555,-4.542213,-0.01707787,-8.393156,0,0,33.78571,1,1,1000,1000,0
350288,421103991,0,-1.341548,-1.613304,0.08913548,-1.256121,-0.06197862,-9.755057,0,0,40.05758,1,1,1000,1000,0
310383,376783393,0,0.00320336,0.00324781,-0.01301676,-0.0301115,0.01221732,-9.817904,0,0,39.27073,1,1,1000,1000,3
107074,150583909,0,-1.312642,-2.256072,0.02730745,-4.805772,-0.157861,-8.272818,0,0,32.82251,1,1,1000,1000,1
238605,296983659,0,1.718945,-1.77868,0.8075158,1.000002,1.000001,1.000002,0,0,37.52481,1,1,999,999,2
433755,514823988,0,0.00117074,0.00112308,0.00119791,-0.00117753,-0.00095631,-9.818027,0,0,41.38369,1,1,999,999,4
220631,276983329,0,0.342636,-3.090161,-0.3796063,1.000002,1.000001,1.000002,0,0,37.00948,1,1,999,999,2
12979,29424059,0,0.00036103,0.00039355,0.00045605,-0.00143538,-0.00051976,-9.817802,0,0,26.76294,1,1,999,999,0
256190,316543332,0,-2.464855,0.1397354,0.2186509,-0.4249059,-0.00755677,-10.10189,0,0,37.99665,1,1,999,999,0
28136,62543306,0,-0.8742269,2.197168,0.03771277,-0.03509925,0.00584402,-9.831907,0,0,28.66916,1,1,1000,1000,0
30996,65703708,0,0.9046017,-2.118657,0.04239336,0.01230984,0.03987398,-9.842285,0,0,28.84027,1,1,1000,1000,0
37040,72423519,0,1.452266,-1.912186,0.0500336,0.04088059,0.02903524,-9.773072,0,0,29.19823,1,1,1000,1000,0
166239,216543348,0,0.2529907,-2.285797,0.01364935,-0.1221216,0.03078701,-9.475568,0,0,35.22604,1,1,1000,1000,0
183512,235704014,0,-1.1765,-2.435755,0.03421973,1.000002,1.000001,1.000002,0,0,35.83075,1,1,1000,1000,0
234589,292543769,0,-2.872837,-0.4470859,-0.09071694,1.000002,1.000001,1.000002,0,0,37.41336,1,1,999,999,2
372618,445904067,0,2.499151,0.0707888,0.04785977,-0.0933181,-0.2346917,-9.855608,0,0,40.44972,1,1,999,999,0
226842,283903893,0,3.005938,-0.9529815,0.5972942,1.000002,1.000001,1.000002,0,0,37.19169,1,1,1000,1000,2
361428,433464045,0,-2.230279,0.8575542,0.06411967,-0.395982,0.01075093,-9.849148,0,0,40.25707,1,1,1000,1000,0
12478,28783482,0,0.00035055,0.00035689,0.00041672,-0.00194524,-0.00069033,-9.817195,0,0,26.724,1,1,999,999,0
109408,153223686,0,2.565801,0.1946492,0.01395673,-4.899757,-0.1268484,-8.692162,0,0,32.92921,1,1,1000,1000,1
109922,153783462,0,-1.633911,-2.032795,0.02098355,-4.670978,-0.1645886,-8.372295,0,0,32.95172,1,1,1000,1000,1
15873,48943748,0,0.0007169,0.00068805,0.00065899,-0.00197772,-0.00149965,-9.817525,0,0,27.91179,1,1,1000,1000,0
