LineNO,TimeUS,RDes,R,Rout,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut,labels
340420,410163369,2.452054,-37.63402,0.6671085,-4.356002,-140.6608,0.6380006,3.448024,1.897259,0.00139785,-76.75306,-25.64383,0.3503523,0
184713,237063470,10.91009,-189.017,1.072,-20.8748,-16.95706,-0.6487175,-1.558685,1.08994,-0.00316041,9274.284,-1036.64,1,0
242529,301363573,23.55373,-19.57057,0.6763374,44.37856,-112.6914,0.6129587,-48.74887,-21.1437,-0.01858246,356.0417,-1125.106,0.3580591,0
363378,435663998,-3.773822,-101.3874,0.8916198,-1.013024,-109.7689,0.2330914,-5.16707,4.2939,-0.01685318,0.8642058,-2.930355,0.3609183,0
125844,171663807,1.517852,-56.59896,-0.08798747,-15.48679,133.1258,-0.9480072,-44.23863,13.78997,-0.09675629,-4.620901,8.462715,0.4066958,0
248917,308464065,-5.891759,121.1175,-0.4252875,7.088037,-69.66405,0.8260024,2.283389,2.965049,0.00031649,305.2659,64.77928,0.3601063,0
37877,73363976,-11.18384,38.57098,0.1908946,-0.4104252,-153.2642,0.8804139,-109.3965,-47.69025,-0.1126639,14.59404,-7.8228,0.3922879,0
319887,387363326,-44.32486,-0.01232606,-0.397138,16.50512,-0.02056885,0.5389676,-134.4691,-1.195866,-0.2093774,1591.315,0.1738548,1,3
282862,346163979,-6.718688,141.0451,-0.8144038,-29.2538,-24.85453,0.4486676,2.834208,2.948931,-0.00056099,-1.313735,-5.86853,0.3501869,0
88887,130163747,-5.737834,-122.2965,1.001061,9.085702,-117.312,0.2656209,5.038497,4.131,0.00037015,33.0155,-20.68386,0.4671068,1
92892,134663613,1.709154,55.17271,-0.8999478,-6.806408,174.87,-0.7655374,3.101729,2.916094,-0.00078704,-10.57856,-7.001972,0.5142124,1
211508,266864045,16.63978,13.95775,-0.384544,-29.50235,98.68785,-0.6921206,7.560685,8.60723,0.00506603,-299.7929,-1047.743,0.2936248,2
66093,104663951,1.883388,-118.9988,0.8310718,12.58969,-50.82781,-0.05208787,3.331298,2.097174,0.00133833,-3.055755,-12.33187,0.3712557,0
