LineNo,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip,labels
424709,503763414,0,0.1200089,0.1083981,0.1482388,0,4
426871,506163287,0,0.00320994,0.00327002,0.00299224,0,4
435120,516463332,0,0.00299813,0.0033165,0.0028645,0,4
145047,192963617,0,0.163687,0.1167748,0.2472649,0,0
430951,511263746,0,0.00295177,0.00276598,0.00277678,0,4
227087,284163789,0,6.00E-07,6.00E-07,6.00E-07,0,2
6546,21363951,0,0.00265489,0.00283638,0.00288881,0,0
136590,183564045,0,0.1617634,0.1347747,0.2620354,0,0
25476,59563665,0,0.1023683,0.101971,0.1176389,0,0
290548,354663911,0,5.877801,3.383392,2.928133,0,3
145589,193563377,0,0.1602307,0.1240772,0.2823876,0,0
348551,419163934,0,0.1153352,0.1140877,0.1702586,0,0
56383,93863273,0,0.1213837,0.1325438,0.1889675,0,0
279108,341963993,0,0.1130733,0.120748,0.2059186,0,0
387259,462163394,0,0.1430491,0.153651,0.2425984,0,4
73156,112463330,0,0.122407,0.1345359,0.1716364,0,1
301813,367263869,0,0.0742076,0.09626222,0.00278231,0,3
259928,320663350,0,0.1118981,0.1234789,0.1478437,0,0
116488,161163842,0,0.1597752,0.1476487,0.2615084,0,1
61253,99263612,0,0.1166507,0.1176758,0.1489969,0,0
281627,344763706,0,0.1063277,0.1186307,0.1662092,0,0
253445,313463731,0,0.129316,0.1131159,0.142335,0,0
438645,520763278,0,0.00284672,0.00280243,0.00288984,0,4
104035,147163611,0,0.1682474,0.1375829,0.2566459,0,1
259749,320463430,0,0.1157696,0.1123311,0.165556,0,0
35112,70263550,0,0.1155607,0.1126314,0.1865724,0,0
98430,140863632,0,0.2046956,0.1486126,0.3434985,0,1
244798,303863406,0,6.00E-07,6.00E-07,6.00E-07,0,0
415976,494063962,0,0.1089991,0.1091343,0.1700903,0,4
344950,415163868,0,0.1211953,0.1068185,0.1748135,0,0
201376,255563567,0,6.00E-07,6.00E-07,6.00E-07,0,2
28719,63163891,0,0.1138671,0.1111133,0.1805949,0,0
108126,151763437,0,0.1502335,0.128544,0.2454483,0,1
258215,318763277,0,0.1104432,0.1213969,0.1375241,0,0
97097,139363399,0,0.2013613,0.1365575,0.3362833,0,1
246062,305263679,0,0.1131329,0.1098887,0.2286739,0,0
435691,517163885,0,0.00284154,0.00301599,0.00290425,0,4
406160,483163324,0,0.1169487,0.1301216,0.1830852,0,4
283700,347063619,0,0.1338828,0.1341358,0.1906881,0,0
158186,207563608,0,0.1511948,0.1208398,0.2640678,0,0
178533,230163731,0,0.00341037,0.00132641,0.01369636,0,0
148379,196663803,0,0.1624292,0.1321507,0.2748104,0,0
210634,265863612,0,6.00E-07,6.00E-07,6.00E-07,0,2
49894,86663654,0,0.1039567,0.1219017,0.1391213,0,0
209020,264063499,0,6.00E-07,6.00E-07,6.00E-07,0,2
203709,258163360,0,6.00E-07,6.00E-07,6.00E-07,0,2
255425,315663684,0,0.1120309,0.1126113,0.1481087,0,0
9505,25063304,0,0.00304903,0.00299119,0.00292323,0,0
229337,286663622,0,6.00E-07,6.00E-07,6.00E-07,0,2
395815,471663759,0,0.1172891,0.1110795,0.174552,0,4
80281,120463462,0,0.1008957,0.1138239,0.1659091,0,1
347923,418463381,0,0.1134617,0.1063218,0.1719452,0,0
29711,64263451,0,0.1169932,0.116323,0.164252,0,0
131097,177463986,0,0.1444175,0.1319319,0.2954356,0,0
85177,125963761,0,0.1408079,0.1381137,0.2206592,0,1
350624,421463847,0,0.1101943,0.1174059,0.1767609,0,0
414984,492963569,0,0.105378,0.1246354,0.1752109,0,4
156115,205263695,0,0.1642579,0.1227068,0.2308585,0,0
208570,263563699,0,6.00E-07,6.00E-07,6.00E-07,0,2
237155,295363474,0,6.00E-07,6.00E-07,6.00E-07,0,2
189689,242563769,0,6.00E-07,6.00E-07,6.00E-07,0,2
288023,351863365,0,0.2393905,0.3075178,0.1648594,0,3
21148,54763919,0,0.1352946,0.1373719,0.1955558,0,0
131998,178463586,0,0.1571949,0.1329847,0.2706038,0,0
437825,519763678,0,0.00297361,0.00259253,0.00277615,0,4
31872,66663324,0,0.1139025,0.1111386,0.1738719,0,0
322254,389963952,0,0.1150263,0.1032103,0.0028027,0,3
263801,324963296,0,0.1210964,0.1217246,0.1844274,0,0
174478,225663865,0,0.1209297,0.1195846,0.1931235,0,0
382496,456863848,0,0.1278057,0.1506591,0.223615,0,4
226548,283564029,0,6.00E-07,6.00E-07,6.00E-07,0,2
74855,114363403,0,0.1075437,0.1150881,0.1674833,0,1
78234,118163549,0,0.1167865,0.1103256,0.1990416,0,1
337118,406464016,0,0.1849944,0.1372141,0.30586,0,0
45025,81263315,0,0.1093283,0.1153525,0.1994074,0,0
71979,111163850,0,0.1183413,0.1060092,0.179184,0,1
134336,181063379,0,0.1560699,0.1325036,0.2697759,0,0
330990,399663404,0,0.09299776,0.1142542,0.2451867,0,0
361063,433063372,0,0.1170234,0.1131815,0.1581494,0,0
250021,309663585,0,0.1261406,0.1161404,0.1841015,0,0
373404,446763723,0,0.1322913,0.1103047,0.1529569,0,4
94073,135963926,0,0.2641486,0.1675286,0.3614276,0,1
289559,353563518,0,1.981013,4.946922,27.605,0,3
406523,483563997,0,0.122731,0.1243657,0.2269318,0,4
343689,413763595,0,0.1219946,0.12435,0.16855,0,0
168715,219263926,0,0.1062225,0.1209762,0.1743895,0,0
324508,392463785,0,0.1181815,0.1084655,0.00268682,0,3
163041,212963947,0,0.1215754,0.1302717,0.2075076,0,0
319461,386863526,0,0.1078695,0.1060948,0.00286802,0,3
41058,76863409,0,0.107659,0.1159713,0.1766848,0,0
384741,459363681,0,0.1353648,0.1721506,0.2407781,0,4
240752,299363540,0,6.00E-07,6.00E-07,6.00E-07,0,2
365655,438163831,0,0.1157351,0.1268221,0.1562559,0,0
327298,395563378,0,0.09964416,0.1083918,0.0027402,0,3
63326,101563525,0,0.104662,0.1162508,0.1700665,0,0
37097,72463503,0,0.1250897,0.1154986,0.1710945,0,0
22230,55963439,0,0.1105973,0.1302947,0.193873,0,0
394826,470563366,0,0.1257314,0.1034085,0.1686267,0,4
266050,327463962,0,0.1232431,0.1296605,0.193906,0,0
38898,74463536,0,0.1291677,0.1154496,0.1910126,0,0
186536,239063503,0,6.00E-07,6.00E-07,6.00E-07,0,0
398868,475064065,0,0.1119733,0.1181766,0.1603217,0,4
421918,500663821,0,0.1122377,0.1115477,0.1461344,0,4
66391,104963831,0,0.1207251,0.11764,0.1849781,0,0
112576,156763936,0,0.154953,0.1275673,0.2507022,0,1
103056,146064051,0,0.1747141,0.1292777,0.2836305,0,1
361425,433464045,0,0.1083747,0.1204547,0.1902077,0,0
115156,159663609,0,0.1498322,0.1287582,0.2544947,0,1
61792,99863372,0,0.1197727,0.1141066,0.1744757,0,0
129653,175863793,0,0.1462006,0.1301188,0.2728947,0,0
337745,407163736,0,0.1905864,0.1549516,0.3012678,0,0
372055,445263490,0,0.1123216,0.1251665,0.1833729,0,0
386269,461063834,0,0.1369649,0.1420807,0.2433431,0,4
138571,185763998,0,0.1716183,0.1255578,0.2795473,0,0
308477,374663408,0,0.0863885,0.08092275,0.00284458,0,3
183397,235564070,0,6.00E-07,6.00E-07,6.00E-07,0,0
87045,128063754,0,0.1876578,0.133299,0.2376999,0,1
162599,212463314,0,0.1251528,0.1284653,0.2027091,0,0
434217,515363772,0,0.00296611,0.00302202,0.00265709,0,4
165831,216063540,0,0.1118086,0.1112937,0.1885235,0,0
357099,428663466,0,0.1148209,0.1248544,0.1645836,0,0
411835,489463303,0,0.1188713,0.1092803,0.1443869,0,4
140095,187463318,0,0.1624613,0.1273955,0.2600532,0,0
40248,75963769,0,0.1231266,0.1097919,0.1435039,0,0
168354,218864086,0,0.1145458,0.1195857,0.1584833,0,0
237597,295863274,0,6.00E-07,6.00E-07,6.00E-07,0,2
116312,160963922,0,0.1420825,0.1332174,0.2619295,0,1
142886,190563744,0,0.1607717,0.1291929,0.2595248,0,0
44843,81063395,0,0.1152596,0.1177851,0.1760374,0,0
340898,410664002,0,0.1388595,0.1189629,0.2300403,0,0
330539,399163604,0,0.1566399,0.162768,0.4646921,0,0
154314,203263662,0,0.1640103,0.1322,0.2237791,0,0
69458,108363304,0,0.120676,0.1273541,0.2123471,0,1
216653,272563431,0,6.00E-07,6.00E-07,6.00E-07,0,2
438972,521163951,0,0.00262228,0.00286126,0.00273863,0,4
282350,345563386,0,0.1083343,0.1313048,0.1597201,0,0
137128,184163805,0,0.1453072,0.1284741,0.2814659,0,0
125962,171763767,0,0.1263378,0.1284129,0.1762606,0,0
364394,436763558,0,0.1272802,0.09840064,0.1711416,0,0
361782,433863885,0,0.1235469,0.1052086,0.1765727,0,0
340358,410063409,0,0.1341562,0.1262534,0.2390207,0,0
295546,360263337,0,0.1972038,0.4220083,0.4160017,0,3
348102,418663301,0,0.1320444,0.1247222,0.149569,0,0
31241,65963604,0,0.1135715,0.1104796,0.1634025,0,0
275322,337764007,0,0.1146014,0.1246156,0.2234606,0,0
285590,349163612,0,0.1275309,0.1079266,0.1832559,0,0
345579,415863588,0,0.1163666,0.1242004,0.2138236,0,0
145497,193463417,0,0.1756372,0.1203845,0.3006205,0,0
385640,460363281,0,0.1338941,0.1443266,0.2259581,0,4
142795,190463784,0,0.1653177,0.1457653,0.2496589,0,0
143876,191663304,0,0.154044,0.1377652,0.2536573,0,0
175739,227063305,0,0.1205126,0.1175675,0.2124828,0,0
392844,468363413,0,0.1158551,0.1176194,0.183281,0,4
91495,133063420,0,0.2666694,0.1635661,0.369397,0,1
194360,247763355,0,6.00E-07,6.00E-07,6.00E-07,0,2
114710,159163809,0,0.1477771,0.1245441,0.2513115,0,1
253894,313963531,0,0.1133057,0.1203661,0.1593244,0,0
314601,381464020,0,0.07875077,0.08182842,0.0030302,0,3
358721,430463579,0,0.1238652,0.1195181,0.2005497,0,0
6865,21763791,0,0.00276793,0.00304901,0.00281669,0,0
274064,336363734,0,0.1158963,0.1144853,0.2226378,0,0
319554,386963486,0,0.10598,0.09804471,0.00277422,0,3
422908,501763381,0,0.1171916,0.1102907,0.1538297,0,4
364754,437163398,0,0.1397876,0.1201667,0.1829076,0,0
47819,84363741,0,0.1228417,0.1118897,0.1414294,0,0
119693,164764068,0,0.149606,0.1232892,0.252944,0,1
179162,230863451,0,4.33E-05,1.69E-05,0.00017395,0,0
215760,271563831,0,6.00E-07,6.00E-07,6.00E-07,0,2
111775,155863463,0,0.1445302,0.1231582,0.2747348,0,1
296258,361063850,0,0.07931083,0.08195398,0.00812321,0,3
56294,93763313,0,0.1193974,0.1261012,0.2224108,0,0
64859,103263678,0,0.1295467,0.1227942,0.1769606,0,0
53947,91163520,0,0.1265689,0.1258398,0.1677252,0,0
238140,296463867,0,6.00E-07,6.00E-07,6.00E-07,0,2
59631,97463499,0,0.113942,0.1165417,0.1784053,0,0
397248,473263952,0,0.1132496,0.1212783,0.159185,0,4
428659,508364073,0,0.00291224,0.00300671,0.00288398,0,4
425880,505063727,0,0.00949225,0.01120962,0.1379179,0,4
414083,491963969,0,0.1277876,0.1274754,0.1614783,0,4
382139,456464008,0,0.1356345,0.1581843,0.2304104,0,4
343960,414063475,0,0.1201416,0.1146905,0.1842093,0,0
130196,176463553,0,0.1895861,0.1233698,0.2802047,0,0
22501,56263319,0,0.1316416,0.1160609,0.200095,0,0
126412,172263567,0,0.1463488,0.1427295,0.2377208,0,0
291716,355963391,0,0.2796489,0.4402626,0.9730779,0,3
86957,127963794,0,0.1744379,0.1432268,0.2524471,0,1
342970,412963915,0,0.1436693,0.114252,0.1836934,0,0
433721,514764012,0,0.00269499,0.00259107,0.00274128,0,4
241201,299863340,0,6.00E-07,6.00E-07,6.00E-07,0,2
2697,16563372,0,0.00278614,0.00287125,0.00290265,0,0
138210,185363325,0,0.1549186,0.1255403,0.2481599,0,0
359980,431863852,0,0.1071347,0.1126771,0.1524587,0,0
13311,45963274,0,0.00259845,0.00282601,0.00310877,0,0
90604,132063820,0,0.2293885,0.1508549,0.3635528,0,1
136049,182963452,0,0.1642637,0.1228031,0.2713071,0,0
166103,216363420,0,0.1104239,0.1243446,0.1938455,0,0
418587,496963635,0,0.1105517,0.1124709,0.1446718,0,4
119336,164363395,0,0.1473983,0.1224469,0.250282,0,1
174208,225363985,0,0.1342914,0.1253587,0.1786006,0,0
73874,113263843,0,0.1420605,0.1250736,0.2051905,0,1
19798,53263686,0,0.1268627,0.1341921,0.1418088,0,0
392214,467663693,0,0.1124548,0.1273827,0.1582227,0,4
152331,201063709,0,0.1585709,0.1184639,0.228235,0,0
198043,251863381,0,6.00E-07,6.00E-07,6.00E-07,0,2
227448,284563629,0,6.00E-07,6.00E-07,6.00E-07,0,2
237959,296263947,0,6.00E-07,6.00E-07,6.00E-07,0,2
94339,136263806,0,0.2536893,0.1497939,0.3878663,0,1
306766,372763335,0,0.07652628,0.07840855,0.00286453,0,3
123261,168763301,0,0.1632643,0.1458054,0.3652676,0,0
310728,377164074,0,0.07854915,0.07763098,0.00261412,0,3
398778,474963272,0,0.1250857,0.1164743,0.1561936,0,4
197143,250863781,0,6.00E-07,6.00E-07,6.00E-07,0,2
273072,335263341,0,0.1172601,0.1087483,0.1591277,0,0
6466,21263991,0,0.00276038,0.00281468,0.00274636,0,0
260471,321263943,0,0.1172164,0.1130602,0.1782089,0,0
343330,413363755,0,0.124221,0.1007523,0.1454286,0,0
306855,372863295,0,0.07029137,0.07737328,0.00284797,0,3
278478,341263440,0,0.1294486,0.1242937,0.2078779,0,0
245519,304663919,0,6.00E-07,6.00E-07,6.00E-07,0,0
155665,204763895,0,0.1610629,0.1321268,0.2713571,0,0
231759,289363375,0,6.00E-07,6.00E-07,6.00E-07,0,2
358900,430663499,0,0.1347299,0.1319332,0.2283331,0,0
155215,204263262,0,0.1528405,0.1210228,0.2398719,0,0
344322,414463315,0,0.1225854,0.1192643,0.1906169,0,0
436430,518063525,0,0.00258449,0.00306606,0.00298761,0,4
401031,477463938,0,0.1033176,0.09290022,0.1314904,0,4
309108,375363961,0,0.07803743,0.07946029,0.00300078,0,3
342878,412863955,0,0.1211584,0.1093905,0.1764145,0,0
350714,421563807,0,0.1108445,0.1149259,0.1706468,0,0
20069,53563566,0,0.1174903,0.120718,0.1859334,0,0
87222,128263674,0,0.1632214,0.1340504,0.2263348,0,1
366555,439163431,0,0.1285156,0.1191832,0.183137,0,0
375294,448863716,0,0.1268549,0.1211757,0.2003716,0,4
182585,234663597,0,6.00E-07,6.00E-07,6.00E-07,0,0
51516,88463767,0,0.1336201,0.1290867,0.1997705,0,0
251013,310763978,0,0.1097511,0.1165592,0.2017097,0,0
262091,323064056,0,0.1209526,0.1076102,0.1667461,0,0
363405,435663998,0,0.1244689,0.1253465,0.19952,0,0
47367,83863941,0,0.1265496,0.1284523,0.1890746,0,0
20788,54364079,0,0.1240892,0.1288467,0.1644137,0,0
272711,334863501,0,0.1254313,0.1132802,0.1949525,0,0
345401,415663668,0,0.1141106,0.1165317,0.1585212,0,0
31961,66763284,0,0.1090855,0.1215841,0.1473705,0,0
383754,458263288,0,0.1321834,0.1453112,0.2408502,0,4
76011,115663716,0,0.1105041,0.1098517,0.1285581,0,1
381239,455463575,0,0.1359629,0.1435359,0.2903695,0,4
132447,178963386,0,0.1593724,0.124269,0.254574,0,0
255696,315963564,0,0.1219816,0.1172318,0.1807306,0,0
143787,191563344,0,0.1812659,0.1301249,0.28648,0,0
27100,61363778,0,0.1027581,0.1119814,0.1424594,0,0
152070,200763829,0,0.1596168,0.1279437,0.2659005,0,0
15199,48164060,0,0.00261697,0.00282913,0.00300716,0,0
415073,493063529,0,0.1002919,0.1166589,0.1560026,0,4
28093,62463338,0,0.1225061,0.1073333,0.164334,0,0
352426,423463880,0,0.114312,0.1269441,0.165574,0,0
274604,336963494,0,0.1422997,0.128778,0.2083129,0,0
258847,319463830,0,0.1102868,0.1252385,0.166216,0,0
397157,473163992,0,0.1179171,0.1167878,0.1927219,0,4
349814,420563374,0,0.1287839,0.1216003,0.2006492,0,0
409853,487263350,0,0.1216988,0.1347489,0.1385323,0,4
273432,335664014,0,0.1176641,0.1146516,0.1994378,0,0
371063,444163930,0,0.1147424,0.1134802,0.1742737,0,0
99587,142163945,0,0.1871358,0.1371253,0.3406109,0,1
211446,266764085,0,6.00E-07,6.00E-07,6.00E-07,0,2
216473,272363511,0,6.00E-07,6.00E-07,6.00E-07,0,2
186625,239163463,0,6.00E-07,6.00E-07,6.00E-07,0,0
187893,240563736,0,6.00E-07,6.00E-07,6.00E-07,0,0
397968,474063632,0,0.1048961,0.1186032,0.1400932,0,4
105547,148863764,0,0.1543941,0.1336834,0.2477157,0,1
97631,139963992,0,0.221194,0.1310812,0.3492559,0,1
175109,226363585,0,0.11646,0.1112903,0.1717535,0,0
420207,498763748,0,0.1169983,0.109998,0.1482864,0,4
435037,516363372,0,0.00290462,0.00306236,0.00286345,0,4
163400,213363787,0,0.1040237,0.1245461,0.1738487,0,0
210726,265963572,0,6.00E-07,6.00E-07,6.00E-07,0,2
145137,193063577,0,0.1712611,0.1408109,0.2809635,0,0
2136,15863652,0,0.00300009,0.00281038,0.00293165,0,0
70900,109963497,0,0.119815,0.1198247,0.1758415,0,1
340539,410263329,0,0.1325195,0.1099822,0.2274142,0,0
98697,141163512,0,0.2044308,0.1418164,0.3321325,0,1
