LineNo,TimeUS,I,Alt,Press,CRt,SMS,Offset,GndTemp,Health,labels
1708,15363852,0,0,101080.3,29.01,0,15363,0,25.52884,0
1792,15463812,0,0,101080.3,29.03,0,15463,0,25.52884,0
1871,15563772,0,0,101080.3,29.05,0,15563,0,25.52884,0
1950,15663732,0,0,101080.3,29.07,0,15663,0,25.52884,0
2029,15763692,0,0,101080.3,29.09,0,15763,0,25.52884,0
2110,15863652,0,0,101080.3,29.11,0,15863,0,25.52884,0
2190,15963612,0,0,101080.3,29.13,0,15963,0,25.52884,0
2270,16063572,0,0,101080.3,29.15,0,16063,0,25.52884,0
2349,16163532,0,0,101080.3,29.16,0,16163,0,25.52884,0
2428,16263492,0,0,101080.3,29.18,0,16263,0,25.52884,0
2512,16363452,0,0,101080.3,29.2,0,16363,0,25.52884,0
2592,16463412,0,0,101080.3,29.22,0,16463,0,25.52884,0
2671,16563372,0,0,101080.3,29.24,0,16563,0,25.52884,0
2750,16663332,0,0,101080.3,29.26,0,16663,0,25.52884,0
2829,16763292,0,0,101080.3,29.28,0,16763,0,25.52884,0
2910,16864085,0,0,101080.3,29.3,0,16864,0,25.52884,0
2990,16964045,0,0,101080.3,29.32,0,16964,0,25.52884,0
3070,17064005,0,0,101080.3,29.34,0,17064,0,25.52884,0
3149,17163965,0,0,101080.3,29.36,0,17163,0,25.52884,0
3228,17263925,0,0,101080.3,29.37,0,17263,0,25.52884,0
3313,17363885,0,0,101080.3,29.39,0,17363,0,25.52884,0
3393,17463845,0,0,101080.3,29.41,0,17463,0,25.52884,0
3472,17563805,0,0,101080.3,29.43,0,17563,0,25.52884,0
3551,17663765,0,0,101080.3,29.45,0,17663,0,25.52884,0
3630,17763725,0,0,101080.3,29.47,0,17763,0,25.52884,0
3711,17863685,0,0,101080.3,29.49,0,17863,0,25.52884,0
3791,17963645,0,0,101080.3,29.5,0,17963,0,25.52884,0
3871,18063605,0,0,101080.3,29.52,0,18063,0,25.52884,0
3950,18163565,0,0,101080.3,29.54,0,18163,0,25.52884,0
4029,18263525,0,0,101080.3,29.56,0,18263,0,25.52884,0
4113,18363485,0,0,101080.3,29.58,0,18363,0,25.52884,0
4193,18463445,0,0,101080.3,29.6,0,18463,0,25.52884,0
4272,18563405,0,0,101080.3,29.61,0,18563,0,25.52884,0
4357,18663365,0,0,101080.3,29.63,0,18663,0,25.52884,0
4436,18763325,0,0,101080.3,29.65,0,18763,0,25.52884,0
4517,18863285,0,0,101080.3,29.67,0,18863,0,25.52884,0
4597,18964078,0,0,101080.3,29.68,0,18964,0,25.52884,0
4677,19064038,0,0,101080.3,29.7,0,19064,0,25.52884,0
4756,19163998,0,0,101080.3,29.72,0,19163,0,25.52884,0
4835,19263958,0,0,101080.3,29.74,0,19263,0,25.52884,0
4919,19363918,0,0,101080.3,29.76,0,19363,0,25.52884,0
4999,19463878,0,0,101080.3,29.77,0,19463,0,25.52884,0
5078,19563838,0,0,101080.3,29.79,0,19563,0,25.52884,0
5157,19663798,0,0,101080.3,29.81,0,19663,0,25.52884,0
5236,19763758,0,0,101080.3,29.82,0,19763,0,25.52884,0
5317,19863718,0,0,101080.3,29.84,0,19863,0,25.52884,0
