LineNo,TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct,labels
1704,15363852,0,12.58798,0,0,0,0,0,0,100,0
1788,15463812,0,12.58798,0,0,0,0,0,0,100,0
1867,15563772,0,12.58798,0,0,0,0,0,0,100,0
1946,15663732,0,12.58798,0,0,0,0,0,0,100,0
2025,15763692,0,12.58798,0,0,0,0,0,0,100,0
2106,15863652,0,12.58798,0,0,0,0,0,0,100,0
2186,15963612,0,12.58798,0,0,0,0,0,0,100,0
2266,16063572,0,12.58798,0,0,0,0,0,0,100,0
2345,16163532,0,12.58798,0,0,0,0,0,0,100,0
2424,16263492,0,12.58798,0,0,0,0,0,0,100,0
2508,16363452,0,12.58798,0,0,0,0,0,0,100,0
2588,16463412,0,12.58798,0,0,0,0,0,0,100,0
2667,16563372,0,12.58798,0,0,0,0,0,0,100,0
2746,16663332,0,12.58798,0,0,0,0,0,0,100,0
2825,16763292,0,12.58798,0,0,0,0,0,0,100,0
2906,16864085,0,12.58798,0,0,0,0,0,0,100,0
2986,16964045,0,12.58798,0,0,0,0,0,0,100,0
3066,17064005,0,12.58798,0,0,0,0,0,0,100,0
3145,17163965,0,12.58798,0,0,0,0,0,0,100,0
3224,17263925,0,12.58798,0,0,0,0,0,0,100,0
3309,17363885,0,12.58798,0,0,0,0,0,0,100,0
3389,17463845,0,12.58798,0,0,0,0,0,0,100,0
3468,17563805,0,12.58798,0,0,0,0,0,0,100,0
3547,17663765,0,12.58798,0,0,0,0,0,0,100,0
3626,17763725,0,12.58798,0,0,0,0,0,0,100,0
3707,17863685,0,12.58798,0,0,0,0,0,0,100,0
3787,17963645,0,12.58798,0,0,0,0,0,0,100,0
3867,18063605,0,12.58798,0,0,0,0,0,0,100,0
3946,18163565,0,12.58798,0,0,0,0,0,0,100,0
4025,18263525,0,12.58798,0,0,0,0,0,0,100,0
4109,18363485,0,12.58798,0,0,0,0,0,0,100,0
4189,18463445,0,12.58798,0,0,0,0,0,0,100,0
4268,18563405,0,12.58798,0,0,0,0,0,0,100,0
4353,18663365,0,12.58798,0,0,0,0,0,0,100,0
4432,18763325,0,12.58798,0,0,0,0,0,0,100,0
4513,18863285,0,12.58798,0,0,0,0,0,0,100,0
4593,18964078,0,12.58798,0,0,0,0,0,0,100,0
4673,19064038,0,12.58798,0,0,0,0,0,0,100,0
4752,19163998,0,12.58798,0,0,0,0,0,0,100,0
4831,19263958,0,12.58798,0,0,0,0,0,0,100,0
4915,19363918,0,12.58798,0,0,0,0,0,0,100,0
4995,19463878,0,12.58798,0,0,0,0,0,0,100,0
5074,19563838,0,12.58798,0,0,0,0,0,0,100,0
5153,19663798,0,12.58798,0,0,0,0,0,0,100,0
5232,19763758,0,12.58798,0,0,0,0,0,0,100,0
5313,19863718,0,12.58798,0,0,0,0,0,0,100,0
5394,19963678,0,12.58798,0,0,0,0,0,0,100,0
5474,20063638,0,12.58798,0,0,0,0,0,0,100,0
5553,20163598,0,12.58798,0,0,0,0,0,0,100,0
5632,20263558,0,12.58798,0,0,0,0,0,0,100,0
5716,20363518,0,12.58798,0,0,0,0,0,0,100,0
5796,20463478,0,12.58798,0,0,0,0,0,0,100,0
5875,20563438,0,12.58798,0,0,0,0,0,0,100,0
5954,20663398,0,12.58798,0,0,0,0,0,0,100,0
6033,20763358,0,12.58798,0,0,0,0,0,0,100,0
6114,20863318,0,12.58798,0,0,0,0,0,0,100,0
6194,20963278,0,12.58798,0,0,0,0,0,0,100,0
6273,21064071,0,12.58798,0,0,0,0,0,0,100,0
6353,21164031,0,12.58798,0,0,0,0,0,0,100,0
6432,21263991,0,12.58798,0,0,0,0,0,0,100,0
6516,21363951,0,12.58798,0,0,0,0,0,0,100,0
6596,21463911,0,12.58798,0,0,0,0,0,0,100,0
6675,21563871,0,12.58798,0,0,0,0,0,0,100,0
6754,21663831,0,12.58798,0,0,0,0,0,0,100,0
6833,21763791,0,12.58798,0,0,0,0,0,0,100,0
6914,21863751,0,12.58798,0,0,0,0,0,0,100,0
6994,21963711,0,12.58798,0,0,0,0,0,0,100,0
7073,22063671,0,12.58798,0,0,0,0,0,0,100,0
7153,22163631,0,12.58798,0,0,0,0,0,0,100,0
7232,22263591,0,12.58798,0,0,0,0,0,0,100,0
7317,22363551,0,12.58798,0,0,0,0,0,0,100,0
7397,22463511,0,12.58798,0,0,0,0,0,0,100,0
7476,22563471,0,12.58798,0,0,0,0,0,0,100,0
7555,22663431,0,12.58798,0,0,0,0,0,0,100,0
7634,22763391,0,12.58798,0,0,0,0,0,0,100,0
7715,22863351,0,12.58798,0,0,0,0,0,0,100,0
7794,22963311,0,12.58798,0,0,0,0,0,0,100,0
7874,23063271,0,12.58798,0,0,0,0,0,0,100,0
7954,23164064,0,12.58798,0,0,0,0,0,0,100,0
8033,23264024,0,12.58798,0,0,0,0,0,0,100,0
8117,23363984,0,12.58798,0,0,0,0,0,0,100,0
8196,23463944,0,12.58798,0,0,0,0,0,0,100,0
8276,23563904,0,12.58798,0,0,0,0,0,0,100,0
8355,23663864,0,12.58798,0,0,0,0,0,0,100,0
8434,23763824,0,12.58798,0,0,0,0,0,0,100,0
8515,23863784,0,12.58798,0,0,0,0,0,0,100,0
8594,23963744,0,12.58798,0,0,0,0,0,0,100,0
8674,24063704,0,12.58798,0,0,0,0,0,0,100,0
8754,24163664,0,12.58798,0,0,0,0,0,0,100,0
8833,24263624,0,12.58798,0,0,0,0,0,0,100,0
8917,24363584,0,12.58798,0,0,0,0,0,0,100,0
8996,24463544,0,12.58798,0,0,0,0,0,0,100,0
9076,24563504,0,12.58798,0,0,0,0,0,0,100,0
9155,24663464,0,12.58798,0,0,0,0,0,0,100,0
9234,24763424,0,12.58798,0,0,0,0,0,0,100,0
9315,24863384,0,12.58798,0,0,0,0,0,0,100,0
9394,24963344,0,12.58798,0,0,0,0,0,0,100,0
9475,25063304,0,12.58798,0,0,0,0,0,0,100,0
9555,25163264,0,12.58798,0,0,0,0,0,0,100,0
9634,25264057,0,12.58798,0,0,0,0,0,0,100,0
9718,25364017,0,12.58798,0,0,0,0,0,0,100,0
9797,25463977,0,12.58798,0,0,0,0,0,0,100,0
9877,25563937,0,12.58798,0,0,0,0,0,0,100,0
9956,25663897,0,12.58798,0,0,0,0,0,0,100,0
10035,25763857,0,12.58798,0,0,0,0,0,0,100,0
10116,25863817,0,12.58798,0,0,0,0,0,0,100,0
10195,25963777,0,12.58798,0,0,0,0,0,0,100,0
10275,26063737,0,12.58798,0,0,0,0,0,0,100,0
10355,26163697,0,12.58798,0,0,0,0,0,0,100,0
10434,26263657,0,12.58798,0,0,0,0,0,0,100,0
10518,26363617,0,12.58798,0,0,0,0,0,0,100,0
10597,26463577,0,12.58798,0,0,0,0,0,0,100,0
10677,26563537,0,12.58798,0,0,0,0,0,0,100,0
10756,26663497,0,12.58798,0,0,0,0,0,0,100,0
10835,26763457,0,12.58798,0,0,0,0,0,0,100,0
10916,26863417,0,12.58798,0,0,0,0,0,0,100,0
10995,26963377,0,12.58798,0,0,0,0,0,0,100,0
11075,27063337,0,12.58798,0,0,0,0,0,0,100,0
11155,27163297,0,12.58798,0,0,0,0,0,0,100,0
11234,27264090,0,12.58798,0,0,0,0,0,0,100,0
11318,27364050,0,12.58798,0,0,0,0,0,0,100,0
11397,27464010,0,12.58798,0,0,0,0,0,0,100,0
11477,27563970,0,12.58798,0,0,0,0,0,0,100,0
11556,27663930,0,12.58798,0,0,0,0,0,0,100,0
11635,27763890,0,12.58798,0,0,0,0,0,0,100,0
11716,27863850,0,12.58798,0,0,0,0,0,0,100,0
11795,27963810,0,12.58798,0,0,0,0,0,0,100,0
11875,28063770,0,12.58798,0,0,0,0,0,0,100,0
11955,28163730,0,12.58798,0,0,0,0,0,0,100,0
12034,28263690,0,12.58798,0,0,0,0,0,0,100,0
12118,28363650,0,12.58798,0,0,0,0,0,0,100,0
12197,28463610,0,12.58798,0,0,0,0,0,0,100,0
12277,28563570,0,12.58798,0,0,0,0,0,0,100,0
12356,28663530,0,12.58798,0,0,0,0,0,0,100,0
12435,28763490,0,12.58798,0,0,0,0,0,0,100,0
12516,28863450,0,12.58798,0,0,0,0,0,0,100,0
12595,28963410,0,12.58798,0,0,0,0,0,0,100,0
12675,29063370,0,12.58798,0,0,0,0,0,0,100,0
12755,29163330,0,12.58798,0,0,0,0,0,0,100,0
12834,29263290,0,12.58798,0,0,0,0,0,0,100,0
12918,29364083,0,12.58798,0,0,0,0,0,0,100,0
12997,29464043,0,12.58798,0,0,0,0,0,0,100,0
13077,29564003,0,12.58798,0,0,0,0,0,0,100,0
13156,29663963,0,12.58798,0,0,0,0,0,0,100,0
13278,45963274,0,12.58798,0,0,0,0,0,0,100,0
13360,46064067,0,12.58798,0,0,0,0,0,0,100,0
13440,46164027,0,12.58798,0,0,0,0,0,0,100,0
13524,46263987,0,12.58798,0,0,0,0,0,0,100,0
13609,46363947,0,12.58798,0,0,0,0,0,0,100,0
13693,46463907,0,12.58798,0,0,0,0,0,0,100,0
13780,46563867,0,12.58798,0,0,0,0,0,0,100,0
13865,46663827,0,12.58798,0,0,0,0,0,0,100,0
13951,46763787,0,12.58798,0,0,0,0,0,0,100,0
14036,46863747,0,12.58798,0,0,0,0,0,0,100,0
14121,46963707,0,12.58798,0,0,0,0,0,0,100,0
14208,47063667,0,12.58798,0,0,0,0,0,0,100,0
14294,47163627,0,12.58798,0,0,0,0,0,0,100,0
14380,47263587,0,12.58798,0,0,0,0,0,0,100,0
14467,47363547,0,12.58798,0,0,0,0,0,0,100,0
14553,47463507,0,12.58798,0,0,0,0,0,0,100,0
14640,47563467,0,12.58798,0,0,0,0,0,0,100,0
14725,47663427,0,12.58798,0,0,0,0,0,0,100,0
14811,47763387,0,12.58798,0,0,0,0,0,0,100,0
14896,47863347,0,12.58798,0,0,0,0,0,0,100,0
14982,47963307,0,12.58798,0,0,0,0,0,0,100,0
15073,48063267,0,12.58798,0,0,0,0,0,0,100,0
15163,48164060,0,12.58798,0,0,0,0,0,0,100,0
15253,48264020,0,12.58798,0,0,0,0,0,0,100,0
15344,48363980,0,12.58798,0,0,0,0,0,0,100,0
15435,48463940,0,12.58798,0,0,0,0,0,0,100,0
15526,48563900,0,12.58798,0,0,0,0,0,0,100,0
15615,48663860,0,12.58798,12.58798,0.2492669,0.00692186,0.00008713,0,0,99,0
15705,48763820,0,12.58798,12.58798,0.7478006,0.02768745,0.00034853,0,0,99,0
15794,48863780,0,12.58798,12.58798,1.57869,0.07152593,0.00090037,0,0,99,0
15883,48963740,0,12.58798,12.58798,2.741935,0.1476664,0.00185882,0,0,99,0
15974,49063700,0,12.58798,12.58798,4.154448,0.2630308,0.00331103,0,0,99,0
16064,49163660,0,12.58798,12.58798,5.982405,0.4291556,0.0054022,0,0,99,0
16154,49263620,0,12.58798,12.58798,8.225806,0.657577,0.00827757,0,0,99,0
16245,49363580,0,12.58798,12.58798,10.88465,0.9598317,0.01208234,0,0,99,0
16335,49463540,0,12.58798,12.58798,13.95894,1.347456,0.01696175,0,0,99,0
16426,49563500,0,12.58798,12.58798,17.44868,1.831987,0.02306101,0,0,99,0
16515,49663460,0,12.58798,12.58798,21.52004,2.429574,0.03058343,0,0,99,0
16605,49763420,0,12.58798,12.58798,25.92375,3.149448,0.03964518,0,0,99,0
16694,49863380,0,12.58798,12.58798,30.32747,3.991608,0.05024627,0,0,99,0
16783,49963340,0,12.58798,12.58798,32.48778,4.893757,0.06160251,0,0,99,0
16874,50063300,0,12.58798,12.58798,34.73118,5.858204,0.07374294,0,0,99,0
