LineNo,TimeUS,ThI,ABst,ThO,ThH,DAIt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,labels
1710,15363852,-0.00000048,0,0,0.3450014,0.04388708,0.04388708,0,0,0,-583.0948,2,2,0
1794,15463812,-0.00000048,0,0,0.3450014,0.04308774,0.04308774,0,0,0,-583.0948,2,2,0
1873,15563772,-0.00000048,0,0,0.3450014,0.04230992,0.04230992,0,0,0,-583.0948,2,2,0
1952,15663732,-0.00000048,0,0,0.3450014,0.04155382,0.04155382,0,0,0,-583.0948,2,2,0
2031,15763692,-0.00000048,0,0,0.3450014,0.04081767,0.04081767,0,0,0,-583.0948,2,2,0
2112,15863652,-0.00000048,0,0,0.3450014,0.04010525,0.04010525,0,0,0,-583.0948,2,2,0
2192,15963612,-0.00000048,0,0,0.3450014,0.03941692,0.03941692,0,0,0,-583.0948,2,2,0
2272,16063572,-0.00000048,0,0,0.3450014,0.03874813,0.03874813,0,0,0,-583.0948,2,2,0
2351,16163532,-0.00000048,0,0,0.3450014,0.0380987,0.0380987,0,0,0,-583.0948,2,2,0
2430,16263492,-0.00000048,0,0,0.3450014,0.03746916,0.03746916,0,0,0,-583.0948,2,2,0
2514,16363452,-0.00000048,0,0,0.3450014,0.03652459,0.03652459,0,0,0,-583.0948,2,2,0
2594,16463412,-0.00000048,0,0,0.3450014,0.03594386,0.03594386,0,0,0,-583.0948,2,2,0
2673,16563372,-0.00000048,0,0,0.3450014,0.03537094,0.03537094,0,0,0,-583.0948,1,1,0
2752,16663332,-0.00000048,0,0,0.3450014,0.03481115,0.03481115,0,0,0,-583.0948,1,1,0
2831,16763292,-0.00000048,0,0,0.3450014,0.03426501,0.03426501,0,0,0,-583.0948,1,1,0
2912,16864085,-0.00000048,0,0,0.3450014,0.03372743,0.03372743,0,0,0,-583.0948,1,1,0
2992,16964045,-0.00000048,0,0,0.3450014,0.03319861,0.03319861,0,0,0,-583.0948,1,1,0
3072,17064005,-0.00000048,0,0,0.3450014,0.03268254,0.03268254,0,0,0,-583.0948,1,1,0
3151,17163965,-0.00000048,0,0,0.3450014,0.03219378,0.03219378,0,0,0,-583.0948,1,1,0
3230,17263925,-0.00000048,0,0,0.3450014,0.03169932,0.03169932,0,0,0,-583.0948,1,1,0
3315,17363885,-0.00000048,0,0,0.3450014,0.0312183,0.0312183,0,0,0,-583.0948,1,1,0
3395,17463845,-0.00000048,0,0,0.3450014,0.0307493,0.0307493,0,0,0,-583.0948,1,1,0
3474,17563805,-0.00000048,0,0,0.3450014,0.03029493,0.03029493,0,0,0,-583.0948,1,1,0
3553,17663765,-0.00000048,0,0,0.3450014,0.02985243,0.02985243,0,0,0,-583.0948,1,1,0
3632,17763725,-0.00000048,0,0,0.3450014,0.02941836,0.02941836,0,0,0,-583.0948,1,1,0
