timestamp,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,MagX,MagY,MagZ,abGyrX,abGyrY,abGyrZ,abAccX,abAccY,abAccZ,labels
15363852,0,0.02,0,0,3.51,3.51,0,0,232,52,52,0.00013579,0.000135,0.0002321,-0.00046311,-0.0013428,-9.817147,0
15413832,0,0.02,0,0,3.525,3.525,0,0,232,52,52,0.00016472,0.00014985,0.00022841,-0.00052282,-0.00019193,-9.816688,0
15463812,0,0.02,0,0,3.54,3.54,0,0,232,52,52,0.00016693,0.0002111,0.00027411,-0.00162987,-0.00044639,-9.81665,0
15463812,0,0.02,0,0,3.54,3.54,0,0,232,52,52,0.00017391,0.0001713,0.00021633,-0.00150236,0.00001347,-9.817536,0
15513792,0,0.02,0,0,3.55,3.55,0,0,232,52,52,0.00020419,0.00024179,0.00025452,-0.00218636,-0.00223662,-9.816851,0
15563772,0,0.02,0,0,3.56,3.56,0,0,232,52,52,0.000195,0.00026858,0.00018583,-0.00188437,-0.00167402,-9.81715,0
15563772,0,0.02,0,0,3.56,3.56,0,0,232,52,52,0.00021333,0.00015253,0.00021712,-0.00142897,-0.00070509,-9.817696,0
15613752,0,0.02,0,0,3.57,3.57,0,0,232,52,52,0.00017714,0.00020531,0.0002099,-0.00107017,-0.00068162,-9.817696,0
15663732,0,0.02,0,0,3.58,3.58,0,0,232,52,52,0.00019581,0.00015505,0.00020709,0.00066201,-0.00046092,-9.817172,0
15663732,0,0.02,0,0,3.58,3.58,0,0,232,52,52,0.00018803,0.00016995,0.00019913,-0.00256787,-0.00101533,-9.817984,0
15713712,0,0.02,0,0,3.59,3.59,0,0,232,52,52,0.00021482,0.00020432,0.00021568,-0.00130172,-0.00148541,-9.816887,0
15763692,0,0.02,0,0,3.6,3.6,0,0,232,52,52,0.00016637,0.0001481,0.00021527,-0.00076575,-0.00161148,-9.818167,0
15763692,0,0.02,0,0,3.6,3.6,0,0,232,52,52,0.00024055,0.0001651,0.00018289,-0.00065453,-0.00124986,-9.8179,0
15813672,0,0.02,0,0,3.605,3.605,0,0,232,52,52,0.00019892,0.0002468,0.00012552,0.00038121,-0.00140102,-9.817821,0
15863652,0,0.02,0,0,3.61,3.61,0,0,232,52,52,0.00020761,0.00022757,0.00025435,-0.00071986,-0.00060752,-9.817113,0
15863652,0,0.02,0,0,3.61,3.61,0,0,232,52,52,0.00017263,0.00024196,0.00015323,-0.00189953,-0.00024485,-9.817353,0
15913632,0,0.02,0,0,3.62,3.62,0,0,232,52,52,0.00026931,0.00017117,0.00016265,-0.00062233,-0.00047767,-9.81682,0
15963612,0,0.02,0,0,3.63,3.63,0,0,232,52,52,0.00018718,0.00025857,0.00018919,-0.00176604,-0.00080809,-9.818518,0
15963612,0,0.02,0,0,3.63,3.63,0,0,232,52,52,0.00020196,0.00011647,0.00017483,-0.00093506,-0.00143691,-9.817406,0
16013592,0,0.02,0,0,3.635,3.635,0,0,232,52,52,0.00028346,0.0001699,0.00022475,-0.00132545,-0.00091914,-9.818045,0
16063572,0,0.02,0,0,3.64,3.64,0,0,232,52,52,0.00022257,0.00021477,0.00019972,-0.00204341,-0.00123892,-9.817552,0
16063572,0,0.02,0,0,3.64,3.64,0,0,232,52,52,0.00021503,0.00012188,0.00016105,-0.00076444,0.00041542,-9.817677,0
