LineNo,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,labels
1760,15403836,0,6,547665400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
1918,15603756,0,6,547665600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
2078,15803676,0,6,547665800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
2237,16003596,0,6,547666000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
2396,16203516,0,6,547666200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
2559,16403436,0,6,547666400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
2718,16603356,0,6,547666600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
2878,16803276,0,6,547666800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
3037,17004029,0,6,547667000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
3196,17203949,0,6,547667200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
3360,17403869,0,6,547667400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
3519,17603789,0,6,547667600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
3679,17803709,0,6,547667800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
3838,18003629,0,6,547668000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
3997,18203549,0,6,547668200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
4160,18403469,0,6,547668400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
4319,18603389,0,6,547668600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
4485,18803309,0,6,547668800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
4644,19004062,0,6,547669000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
4803,19203982,0,6,547669200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
4966,19403902,0,6,547669400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
5125,19603822,0,6,547669600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
5285,19803742,0,6,547669800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
5445,20003662,0,6,547670000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
5604,20203582,0,6,547670200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
5767,20403502,0,6,547670400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
5926,20603422,0,6,547670600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
6086,20803342,0,6,547670800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
6245,21003262,0,6,547671000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
6404,21204015,0,6,547671200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
6567,21403935,0,6,547671400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
6726,21603855,0,6,547671600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
6886,21803775,0,6,547671800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
7045,22003695,0,6,547672000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
7204,22203615,0,6,547672200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
7368,22403535,0,6,547672400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
7527,22603455,0,6,547672600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
7687,22803375,0,6,547672800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
7846,23003295,0,6,547673000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
8005,23204048,0,6,547673200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
8168,23403968,0,6,547673400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
8327,23603888,0,6,547673600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
8487,23803808,0,6,547673800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
8646,24003728,0,6,547674000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
8805,24203648,0,6,547674200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
8968,24403568,0,6,547674400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
9127,24603488,0,6,547674600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
9287,24803408,0,6,547674800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
9447,25003328,0,6,547675000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
9606,25204081,0,6,547675200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
9769,25404001,0,6,547675400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
9928,25603921,0,6,547675600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
10088,25803841,0,6,547675800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
10247,26003761,0,6,547676000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
10406,26203681,0,6,547676200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
10569,26403601,0,6,547676400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
10728,26603521,0,6,547676600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
10888,26803441,0,6,547676800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
11047,27003361,0,6,547677000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
11206,27203281,0,6,547677200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
11369,27404034,0,6,547677400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
11528,27603954,0,6,547677600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
11688,27803874,0,6,547677800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
11847,28003794,0,6,547678000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
12006,28203714,0,6,547678200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
12169,28403634,0,6,547678400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
12328,28603554,0,6,547678600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
12488,28803474,0,6,547678800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
12646,29003394,0,6,547679000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
12806,29203314,0,6,547679200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
12969,29404067,0,6,547679400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
13128,29603987,0,6,547679600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
13332,46004091,0,6,547696000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
13496,46204011,0,6,547696200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
13665,46403931,0,6,547696400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
13837,46603851,0,6,547696600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
14008,46803771,0,6,547696800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
14180,47003691,0,6,547697000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
14352,47203611,0,6,547697200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
14525,47403531,0,6,547697400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
14697,47603451,0,6,547697600,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
14868,47803371,0,6,547697800,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
15045,48003291,0,6,547698000,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
15225,48204044,0,6,547698200,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
15407,48403964,0,6,547698400,2232,10,1.21,-35.3632838,149.163061,20.39,0,0,0,0,1,0
15587,48603884,0,6,547698600,2232,10,1.21,-35.3632838,149.163061,20.39,0,3.10514,0,0,1,0
15766,48803804,0,6,547698800,2232,10,1.21,-35.3632838,149.163061,20.39,0,76.33242,0,0,1,0
15946,49003724,0,6,547699000,2232,10,1.21,-35.3632838,149.163061,20.39,0,187.3992,0,0,1,0
16125,49203644,0,6,547699200,2232,10,1.21,-35.3632838,149.163061,20.39,0,223.9971,0,0,1,0
16307,49403564,0,6,547699400,2232,10,1.21,-35.3632838,149.163061,20.39,0,266.2121,0,0,1,0
16487,49603484,0,6,547699600,2232,10,1.21,-35.3632838,149.163061,20.39,0,78.8384,0,0,1,0
16666,49803404,0,6,547699800,2232,10,1.21,-35.3632838,149.163061,20.39,0,47.99936,0,0,1,0
16846,50003324,0,6,547700000,2232,10,1.21,-35.3632838,149.163061,20.39,0,192.1909,0,0,1,0
17025,50204077,0,6,547700200,2232,10,1.21,-35.3632838,149.163061,20.4,0,104.6672,-0.153,0,1,0
17207,50403997,0,6,547700400,2232,10,1.21,-35.3632838,149.163061,20.45,0.001,218.3253,-0.338,0,1,0
17387,50603917,0,6,547700600,2232,10,1.21,-35.3632838,149.163061,20.54,0,338.8719,-0.7220001,0,1,0
17566,50803837,0,6,547700800,2232,10,1.21,-35.3632838,149.163061,20.77,0.011,321.4592,-1.38,0,1,0
17746,51003757,0,6,547701000,2232,10,1.21,-35.3632838,149.163061,21.04,0.032,321.3093,-1.34,0,1,0
17926,51203677,0,6,547701200,2232,10,1.21,-35.3632838,149.1630609,21.3,0.042,313.567,-1.276,0,1,0
18108,51403597,0,6,547701400,2232,10,1.21,-35.3632836,149.1630609,21.56,0.034,327.2669,-1.307,0,1,0
18288,51603517,0,6,547701600,2232,10,1.21,-35.3632836,149.1630607,21.82,0.032,321.2423,-1.348,0,1,0
18467,51803437,0,6,547701800,2232,10,1.21,-35.3632835,149.1630607,22.1,0.03,316.9457,-1.398,0,1,0
18647,52003357,0,6,547702000,2232,10,1.21,-35.3632835,149.1630607,22.38,0.021,327.9977,-1.467,0,1,0
18827,52203277,0,6,547702200,2232,10,1.21,-35.3632835,149.1630607,22.69,0.015,322.7124,-1.557,0,1,0
19011,52404030,0,6,547702400,2232,10,1.21,-35.3632835,149.1630607,23.01,0.009,312.7352,-1.66,0,1,0
