LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S,labels
1705,15363852,0,232,52,-528,5,13,-18,0,0,0,1,15363852,0
1789,15463812,0,232,52,-528,5,13,-18,0,0,0,1,15463812,0
1868,15563772,0,232,52,-528,5,13,-18,0,0,0,1,15563772,0
1947,15663732,0,232,52,-528,5,13,-18,0,0,0,1,15663732,0
2026,15763692,0,232,52,-528,5,13,-18,0,0,0,1,15763692,0
2107,15863652,0,232,52,-528,5,13,-18,0,0,0,1,15863652,0
2187,15963612,0,232,52,-528,5,13,-18,0,0,0,1,15963612,0
2267,16063572,0,232,52,-528,5,13,-18,0,0,0,1,16063572,0
2346,16163532,0,232,52,-528,5,13,-18,0,0,0,1,16163532,0
2425,16263492,0,232,52,-528,5,13,-18,0,0,0,1,16263492,0
2509,16363452,0,232,52,-528,5,13,-18,0,0,0,1,16363452,0
2589,16463412,0,232,52,-528,5,13,-18,0,0,0,1,16463412,0
2668,16563372,0,232,52,-528,5,13,-18,0,0,0,1,16563372,0
2747,16663332,0,232,52,-528,5,13,-18,0,0,0,1,16663332,0
2826,16763292,0,232,52,-528,5,13,-18,0,0,0,1,16763292,0
2907,16864085,0,232,52,-528,5,13,-18,0,0,0,1,16864085,0
2987,16964045,0,232,52,-528,5,13,-18,0,0,0,1,16964045,0
3067,17064005,0,232,52,-528,5,13,-18,0,0,0,1,17064005,0
3146,17163965,0,232,52,-528,5,13,-18,0,0,0,1,17163965,0
3225,17263925,0,232,52,-528,5,13,-18,0,0,0,1,17263925,0
3310,17363885,0,232,52,-528,5,13,-18,0,0,0,1,17363885,0
3390,17463845,0,232,52,-528,5,13,-18,0,0,0,1,17463845,0
3469,17563805,0,232,52,-528,5,13,-18,0,0,0,1,17563805,0
3548,17663765,0,232,52,-528,5,13,-18,0,0,0,1,17663765,0
3627,17763725,0,232,52,-528,5,13,-18,0,0,0,1,17763725,0
3708,17863685,0,232,52,-528,5,13,-18,0,0,0,1,17863685,0
3788,17963645,0,232,52,-528,5,13,-18,0,0,0,1,17963645,0
3868,18063605,0,232,52,-528,5,13,-18,0,0,0,1,18063605,0
3947,18163565,0,232,52,-528,5,13,-18,0,0,0,1,18163565,0
4026,18263525,0,232,52,-528,5,13,-18,0,0,0,1,18263525,0
4110,18363485,0,232,52,-528,5,13,-18,0,0,0,1,18363485,0
4190,18463445,0,232,52,-528,5,13,-18,0,0,0,1,18463445,0
4269,18563405,0,232,52,-528,5,13,-18,0,0,0,1,18563405,0
4354,18663365,0,232,52,-528,5,13,-18,0,0,0,1,18663365,0
4433,18763325,0,232,52,-528,5,13,-18,0,0,0,1,18763325,0
4514,18863285,0,232,52,-528,5,13,-18,0,0,0,1,18863285,0
4594,18964078,0,232,52,-528,5,13,-18,0,0,0,1,18964078,0
4674,19064038,0,232,52,-528,5,13,-18,0,0,0,1,19064038,0
4753,19163998,0,232,52,-528,5,13,-18,0,0,0,1,19163998,0
4832,19263958,0,232,52,-528,5,13,-18,0,0,0,1,19263958,0
4916,19363918,0,232,52,-528,5,13,-18,0,0,0,1,19363918,0
4996,19463878,0,232,52,-528,5,13,-18,0,0,0,1,19463878,0
5075,19563838,0,232,52,-528,5,13,-18,0,0,0,1,19563838,0
5154,19663798,0,232,52,-528,5,13,-18,0,0,0,1,19663798,0
5233,19763758,0,232,52,-528,5,13,-18,0,0,0,1,19763758,0
5314,19863718,0,232,52,-528,5,13,-18,0,0,0,1,19863718,0
5395,19963678,0,232,52,-528,5,13,-18,0,0,0,1,19963678,0
