LineNo,TimeUS,LiftMax,BatVolt,BatRes,ThLimit,labels
1732,15363852,0.9728535,0.9834396,0,1,0
1814,15463812,0.9728535,0.9834396,0,1,0
1893,15563772,0.9728535,0.9834396,0,1,0
1972,15663732,0.9728535,0.9834396,0,1,0
2053,15763692,0.9728535,0.9834396,0,1,0
2132,15863652,0.9728535,0.9834396,0,1,0
2212,15963612,0.9728535,0.9834396,0,1,0
2292,16063572,0.9728535,0.9834396,0,1,0
2371,16163532,0.9728535,0.9834396,0,1,0
2454,16263492,0.9728535,0.9834396,0,1,0
2534,16363452,0.9728535,0.9834396,0,1,0
2614,16463412,0.9728535,0.9834396,0,1,0
2693,16563372,0.9728535,0.9834396,0,1,0
2772,16663332,0.9728535,0.9834396,0,1,0
2853,16763292,0.9728535,0.9834396,0,1,0
2932,16864085,0.9728535,0.9834396,0,1,0
3012,16964045,0.9728535,0.9834396,0,1,0
3092,17064005,0.9728535,0.9834396,0,1,0
3171,17163965,0.9728535,0.9834396,0,1,0
3255,17263925,0.9728535,0.9834396,0,1,0
3335,17363885,0.9728535,0.9834396,0,1,0
3415,17463845,0.9728535,0.9834396,0,1,0
3494,17563805,0.9728535,0.9834396,0,1,0
3573,17663765,0.9728535,0.9834396,0,1,0
3654,17763725,0.9728535,0.9834396,0,1,0
3733,17863685,0.9728535,0.9834396,0,1,0
3813,17963645,0.9728535,0.9834396,0,1,0
3893,18063605,0.9728535,0.9834396,0,1,0
3972,18163565,0.9728535,0.9834396,0,1,0
4055,18263525,0.9728535,0.9834396,0,1,0
4135,18363485,0.9728535,0.9834396,0,1,0
4215,18463445,0.9728535,0.9834396,0,1,0
4294,18563405,0.9728535,0.9834396,0,1,0
4379,18663365,0.9728535,0.9834396,0,1,0
4460,18763325,0.9728535,0.9834396,0,1,0
4539,18863285,0.9728535,0.9834396,0,1,0
4619,18964078,0.9728535,0.9834396,0,1,0
4699,19064038,0.9728535,0.9834396,0,1,0
4778,19163998,0.9728535,0.9834396,0,1,0
4861,19263958,0.9728535,0.9834396,0,1,0
4941,19363918,0.9728535,0.9834396,0,1,0
5021,19463878,0.9728535,0.9834396,0,1,0
5100,19563838,0.9728535,0.9834396,0,1,0
5179,19663798,0.9728535,0.9834396,0,1,0
5260,19763758,0.9728535,0.9834396,0,1,0
5340,19863718,0.9728535,0.9834396,0,1,0
5420,19963678,0.9728535,0.9834396,0,1,0
5500,20063638,0.9728535,0.9834396,0,1,0
5579,20163598,0.9728535,0.9834396,0,1,0
5662,20263558,0.9728535,0.9834396,0,1,0
5742,20363518,0.9728535,0.9834396,0,1,0
5822,20463478,0.9728535,0.9834396,0,1,0
5901,20563438,0.9728535,0.9834396,0,1,0
5980,20663398,0.9728535,0.9834396,0,1,0
6061,20763358,0.9728535,0.9834396,0,1,0
6140,20863318,0.9728535,0.9834396,0,1,0
6220,20963278,0.9728535,0.9834396,0,1,0
6300,21064071,0.9728535,0.9834396,0,1,0
6379,21164031,0.9728535,0.9834396,0,1,0
6462,21263991,0.9728535,0.9834396,0,1,0
6542,21363951,0.9728535,0.9834396,0,1,0
6622,21463911,0.9728535,0.9834396,0,1,0
6701,21563871,0.9728535,0.9834396,0,1,0
6780,21663831,0.9728535,0.9834396,0,1,0
6861,21763791,0.9728535,0.9834396,0,1,0
6940,21863751,0.9728535,0.9834396,0,1,0
7020,21963711,0.9728535,0.9834396,0,1,0
7099,22063671,0.9728535,0.9834396,0,1,0
7179,22163631,0.9728535,0.9834396,0,1,0
7262,22263591,0.9728535,0.9834396,0,1,0
7343,22363551,0.9728535,0.9834396,0,1,0
7423,22463511,0.9728535,0.9834396,0,1,0
7502,22563471,0.9728535,0.9834396,0,1,0
7581,22663431,0.9728535,0.9834396,0,1,0
7662,22763391,0.9728535,0.9834396,0,1,0
7741,22863351,0.9728535,0.9834396,0,1,0
7820,22963311,0.9728535,0.9834396,0,1,0
7900,23063271,0.9728535,0.9834396,0,1,0
7980,23164064,0.9728535,0.9834396,0,1,0
8063,23264024,0.9728535,0.9834396,0,1,0
8143,23363984,0.9728535,0.9834396,0,1,0
8222,23463944,0.9728535,0.9834396,0,1,0
8302,23563904,0.9728535,0.9834396,0,1,0
8381,23663864,0.9728535,0.9834396,0,1,0
8462,23763824,0.9728535,0.9834396,0,1,0
8541,23863784,0.9728535,0.9834396,0,1,0
8620,23963744,0.9728535,0.9834396,0,1,0
8700,24063704,0.9728535,0.9834396,0,1,0
8780,24163664,0.9728535,0.9834396,0,1,0
8863,24263624,0.9728535,0.9834396,0,1,0
8943,24363584,0.9728535,0.9834396,0,1,0
9022,24463544,0.9728535,0.9834396,0,1,0
9102,24563504,0.9728535,0.9834396,0,1,0
9181,24663464,0.9728535,0.9834396,0,1,0
9262,24763424,0.9728535,0.9834396,0,1,0
9341,24863384,0.9728535,0.9834396,0,1,0
9421,24963344,0.9728535,0.9834396,0,1,0
9501,25063304,0.9728535,0.9834396,0,1,0
9581,25163264,0.9728535,0.9834396,0,1,0
9664,25264057,0.9728535,0.9834396,0,1,0
9744,25364017,0.9728535,0.9834396,0,1,0
9823,25463977,0.9728535,0.9834396,0,1,0
9903,25563937,0.9728535,0.9834396,0,1,0
9982,25663897,0.9728535,0.9834396,0,1,0
10063,25763857,0.9728535,0.9834396,0,1,0
10142,25863817,0.9728535,0.9834396,0,1,0
10221,25963777,0.9728535,0.9834396,0,1,0
10301,26063737,0.9728535,0.9834396,0,1,0
10381,26163697,0.9728535,0.9834396,0,1,0
10464,26263657,0.9728535,0.9834396,0,1,0
10544,26363617,0.9728535,0.9834396,0,1,0
10623,26463577,0.9728535,0.9834396,0,1,0
10703,26563537,0.9728535,0.9834396,0,1,0
10782,26663497,0.9728535,0.9834396,0,1,0
10863,26763457,0.9728535,0.9834396,0,1,0
10942,26863417,0.9728535,0.9834396,0,1,0
11021,26963377,0.9728535,0.9834396,0,1,0
11101,27063337,0.9728535,0.9834396,0,1,0
11181,27163297,0.9728535,0.9834396,0,1,0
11264,27264090,0.9728535,0.9834396,0,1,0
11344,27364050,0.9728535,0.9834396,0,1,0
11423,27464010,0.9728535,0.9834396,0,1,0
11503,27563970,0.9728535,0.9834396,0,1,0
11582,27663930,0.9728535,0.9834396,0,1,0
11663,27763890,0.9728535,0.9834396,0,1,0
11742,27863850,0.9728535,0.9834396,0,1,0
11821,27963810,0.9728535,0.9834396,0,1,0
11901,28063770,0.9728535,0.9834396,0,1,0
11981,28163730,0.9728535,0.9834396,0,1,0
12064,28263690,0.9728535,0.9834396,0,1,0
12144,28363650,0.9728535,0.9834396,0,1,0
12223,28463610,0.9728535,0.9834396,0,1,0
12303,28563570,0.9728535,0.9834396,0,1,0
12382,28663530,0.9728535,0.9834396,0,1,0
12463,28763490,0.9728535,0.9834396,0,1,0
12542,28863450,0.9728535,0.9834396,0,1,0
12621,28963410,0.9728535,0.9834396,0,1,0
12701,29063370,0.9728535,0.9834396,0,1,0
12781,29163330,0.9728535,0.9834396,0,1,0
12864,29263290,0.9728535,0.9834396,0,1,0
12944,29364083,0.9728535,0.9834396,0,1,0
13023,29464043,0.9728535,0.9834396,0,1,0
13103,29564003,0.9728535,0.9834396,0,1,0
13182,29663963,0.9728535,0.9834396,0,1,0
13307,45963274,0.9728535,0.9834396,0,1,0
13386,46064067,0.9728535,0.9834396,0,1,0
13470,46164027,0.9728535,0.9834396,0,1,0
13556,46263987,0.9728535,0.9834396,0,1,0
13639,46363947,0.9728535,0.9834396,0,1,0
13725,46463907,0.9728535,0.9834396,0,1,0
13810,46563867,0.9728535,0.9834396,0,1,0
13895,46663827,0.9728535,0.9834396,0,1,0
13981,46763787,0.9728535,0.9834396,0,1,0
14066,46863747,0.9728535,0.9834396,0,1,0
14153,46963707,0.9728535,0.9834396,0,1,0
14238,47063667,0.9728535,0.9834396,0,1,0
14324,47163627,0.9728535,0.9834396,0,1,0
14412,47263587,0.9728535,0.9834396,0,1,0
14497,47363547,0.9728535,0.9834396,0,1,0
14585,47463507,0.9728535,0.9834396,0,1,0
14670,47563467,0.9728535,0.9834396,0,1,0
14755,47663427,0.9728535,0.9834396,0,1,0
14841,47763387,0.9728535,0.9834396,0,1,0
14926,47863347,0.9728535,0.9834396,0,1,0
15014,47963307,0.9728535,0.9834396,0,1,0
15103,48063267,0.9728535,0.9834396,0,1,0
15193,48164060,0.9728535,0.9834396,0,1,0
15285,48264020,0.9728535,0.9834396,0,1,0
15374,48363980,0.9728535,0.9834396,0,1,0
15467,48463940,0.9728535,0.9834396,0,1,0
15556,48563900,0.9728535,0.9834396,0,1,0
15645,48663860,0.9728535,0.9834396,0,1,0
15735,48763820,0.9728535,0.9834396,0,1,0
15824,48863780,0.9728535,0.9834396,0,1,0
15915,48963740,0.9728535,0.9834396,0,1,0
16004,49063700,0.9728535,0.9834396,0,1,0
16094,49163660,0.9728535,0.9834396,0,1,0
16186,49263620,0.9728535,0.9834396,0,1,0
16275,49363580,0.9728535,0.9834396,0,1,0
16367,49463540,0.9728535,0.9834396,0,1,0
16456,49563500,0.9728535,0.9834396,0,1,0
16545,49663460,0.9728535,0.9834396,0,1,0
16635,49763420,0.9728535,0.9834396,0,1,0
16724,49863380,0.9728535,0.9834396,0,1,0
16815,49963340,0.9728535,0.9834396,0,1,0
16904,50063300,0.9728535,0.9834396,0,1,0
16994,50163260,0.9728535,0.9834396,0,1,0
17086,50264053,0.9728535,0.9834396,0,1,0
17175,50364013,0.9728535,0.9834396,0,1,0
17267,50463973,0.9728535,0.9834396,0,1,0
17356,50563933,0.9728535,0.9834396,0.0005623,1,0
17445,50663893,0.9733089,0.9837192,0.00102773,1,0
17535,50763853,0.974099,0.9842041,0.00102773,1,0
17624,50863813,0.9747704,0.9846161,0.00102773,1,0
17715,50963773,0.9752759,0.9849262,0.00102773,1,0
17805,51063733,0.9756869,0.9851782,0.00102773,1,0
17895,51163693,0.9759728,0.9853535,0.00102773,1,0
17987,51263653,0.9761731,0.9854764,0.00102773,1,0
18076,51363613,0.9763228,0.9855681,0.00102773,1,0
18168,51463573,0.9764349,0.9856368,0.00102773,1,0
18257,51563533,0.9765228,0.9856907,0.00102773,1,0
18346,51663493,0.9765959,0.9857355,0.00102773,1,0
18436,51763453,0.9766523,0.98577,0.00102773,1,0
18525,51863413,0.9767051,0.9858025,0.00102773,1,0
18616,51963373,0.9767526,0.9858316,0.00102773,1,0
18705,52063333,0.9767903,0.9858547,0.00102773,1,0
18796,52163293,0.9768177,0.9858715,0.00102773,1,0
18888,52264086,0.9768494,0.9858909,0.00102773,1,0
18979,52364046,0.9768727,0.9859052,0.00102773,1,0
19073,52464006,0.9768898,0.9859157,0.00102773,1,0
