LineNo,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD,labels
1735,15363852,-0.04388708,-0.04388708,-0.02618271,-0.02618271,-0.02618271,-0.00476742,-0.00476742,-0.00476742,0
1817,15463812,-0.04308774,-0.04308774,-0.02552026,-0.02552026,-0.02552026,-0.00450039,-0.00450039,-0.00450039,0
1896,15563772,-0.04230992,-0.04230992,-0.02491401,-0.02491401,-0.02491401,-0.00458717,-0.00458717,-0.00458717,0
1975,15663732,-0.04155382,-0.04155382,-0.02429795,-0.02429795,-0.02429795,-0.00533676,-0.00533676,-0.00533676,0
2056,15763692,-0.04081767,-0.04081767,-0.0237076,-0.0237076,-0.0237076,-0.00459576,-0.00459576,-0.00459576,0
2135,15863652,-0.04010525,-0.04010525,-0.0231802,-0.0231802,-0.0231802,-0.0041914,-0.0041914,-0.0041914,0
2215,15963612,-0.03941692,-0.03941692,-0.02264334,-0.02264334,-0.02264334,-0.00372219,-0.00372219,-0.00372219,0
2295,16063572,-0.03874813,-0.03874813,-0.02213483,-0.02213483,-0.02213483,-0.00486851,-0.00486851,-0.00486851,0
2374,16163532,-0.0380987,-0.0380987,-0.02163176,-0.02163176,-0.02163176,-0.00398159,-0.00398159,-0.00398159,0
2457,16263492,-0.03746916,-0.03746916,-0.02113372,-0.02113372,-0.02113372,-0.00324631,-0.00324631,-0.00324631,0
2537,16363452,-0.03652459,-0.03652459,-0.02053876,-0.02053876,-0.02053876,-0.00446987,-0.00446987,-0.00446987,0
2617,16463412,-0.03594386,-0.03594386,-0.02003524,-0.02003524,-0.02003524,-0.00335407,-0.00335407,-0.00335407,0
2696,16563372,-0.03537094,-0.03537094,-0.0195907,-0.0195907,-0.0195907,-0.00341225,-0.00341225,-0.00341225,0
2775,16663332,-0.03481115,-0.03481115,-0.01915974,-0.01915974,-0.01915974,-0.00342941,-0.00342941,-0.00342941,0
2856,16763292,-0.03426501,-0.03426501,-0.01869851,-0.01869851,-0.01869851,-0.00238419,-0.00238419,-0.00238419,0
2935,16864085,-0.03372743,-0.03372743,-0.01826069,-0.01826069,-0.01826069,-0.00352287,-0.00352287,-0.00352287,0
3015,16964045,-0.03319861,-0.03319861,-0.01782095,-0.01782095,-0.01782095,-0.00292206,-0.00292206,-0.00292206,0
3095,17064005,-0.03268254,-0.03268254,-0.01744042,-0.01744042,-0.01744042,-0.00347233,-0.00347233,-0.00347233,0
3174,17163965,-0.03219378,-0.03219378,-0.01703353,-0.01703353,-0.01703353,-0.00255108,-0.00255108,-0.00255108,0
3258,17263925,-0.03169932,-0.03169932,-0.01668392,-0.01668392,-0.01668392,-0.00364971,-0.00364971,-0.00364971,0
3338,17363885,-0.03121829,-0.03121829,-0.01628044,-0.01628044,-0.01628044,-0.00280476,-0.00280476,-0.00280476,0
3418,17463845,-0.0307493,-0.0307493,-0.0159663,-0.0159663,-0.0159663,-0.00364113,-0.00364113,-0.00364113,0
3497,17563805,-0.03029493,-0.03029493,-0.01565292,-0.01565292,-0.01565292,-0.00311089,-0.00311089,-0.00311089,0
3576,17663765,-0.02985243,-0.02985243,-0.01531551,-0.01531551,-0.01531551,-0.00326443,-0.00326443,-0.00326443,0
3657,17763725,-0.02941836,-0.02941836,-0.01496183,-0.01496183,-0.01496183,-0.00313854,-0.00313854,-0.00313854,0
3736,17863685,-0.02899436,-0.02899436,-0.01467295,-0.01467295,-0.01467295,-0.00313473,-0.00313473,-0.00313473,0
3816,17963645,-0.02858158,-0.02858158,-0.0143653,-0.0143653,-0.0143653,-0.00233746,-0.00233746,-0.00233746,0
3896,18063605,-0.02818025,-0.02818025,-0.01408056,-0.01408056,-0.01408056,-0.00338268,-0.00338268,-0.00338268,0
3975,18163565,-0.02778746,-0.02778746,-0.0137675,-0.0137675,-0.0137675,-0.00109768,-0.00109768,-0.00109768,0
4058,18263525,-0.02740003,-0.02740003,-0.01348986,-0.01348986,-0.01348986,-0.0025816,-0.0025816,-0.0025816,0
4138,18363485,-0.02702392,-0.02702392,-0.01327467,-0.01327467,-0.01327467,-0.00266266,-0.00266266,-0.00266266,0
