LineNO,TimeUS,RDes,R,Rout,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut,labels
1715,15363852,-0.08069889,0.00887738,-0.00022317,-0.03235057,0.0056875,-0.00009606,0.00000548,1.377302,-0.00217677,0.4767418,0.4767418,0,0
1797,15463812,-0.08039173,0.00957001,-0.00020084,-0.03315155,0.00859479,-0.00011687,0.00000742,1.358535,-0.00215137,0.4500389,0.4500389,0,0
1876,15563772,-0.08001221,0.00981927,-0.00021874,-0.03411065,0.00745455,-0.00010832,0.00000936,1.342084,-0.00212419,0.4587173,0.4587173,0,0
1955,15663732,-0.08003102,0.00855381,-0.00020224,-0.03406385,0.00438384,-0.00010161,0.0000084,1.32324,-0.0021003,0.5336761,0.5336761,0,0
2034,15763692,-0.07983949,0.01186255,-0.0002296,-0.03453669,0.01064557,-0.0001255,0.00000265,1.310079,-0.00207322,0.4595757,0.4595757,0,0
2115,15863652,-0.07965571,0.00958662,-0.0002013,-0.03498318,0.00758915,-0.00010641,0.00000458,1.294825,-0.00204786,0.4191399,0.4191399,0,0
2195,15963612,-0.07925896,0.00630736,-0.00019784,-0.03592439,0.00601332,-0.00010329,0.0000046,1.275593,-0.00202335,0.3722191,0.3722191,0,0
2275,16063572,-0.07914571,0.01384584,-0.00022974,-0.03618763,0.00418838,-0.00008692,0.0000123,1.261967,-0.00200022,0.4868507,0.4868507,0,0
2354,16163532,-0.1127584,0.0094183,-0.00030478,-0.05135643,0.00365458,-0.00014131,0.00001039,1.246326,-0.0019757,0.398159,0.398159,0,0
2435,16263492,-0.1122487,0.01165972,-0.0002983,-0.05250523,0.00778113,-0.00013781,0.00000848,1.23113,-0.00195316,0.3246307,0.3246307,0,0
2517,16363452,-0.1120266,0.0094358,-0.00029512,-0.05299636,0.00681399,-0.0001654,0.00000657,1.223944,-0.00193456,0.4469872,0.4469872,0,0
2597,16463412,-0.1116569,0.00763247,-0.00028175,-0.05380171,0.00388671,-0.00012523,0.00000658,1.207245,-0.00191127,0.3354073,0.3354073,0,0
2676,16563372,-0.1117031,0.00564574,-0.00027131,-0.05370197,0.00199432,-0.00011731,0.00001235,1.196426,-0.00189225,0.3412247,0.3412247,0,0
2755,16663332,-0.1116066,0.0082562,-0.00028086,-0.05391013,0.00250772,-0.00011535,0.00001044,1.178667,-0.00186635,0.3429413,0.3429413,0,0
2834,16763292,-0.1118349,0.00862764,-0.00027279,-0.05341577,0.00543532,-0.00013603,0.00001045,1.161148,-0.00184484,0.2384186,0.2384186,0,0
2915,16864085,-0.1114916,0.00877189,-0.00029041,-0.054157,0.00222627,-0.00010938,0.00001046,1.148236,-0.00182001,0.3522873,0.3522873,0,0
2995,16964045,-0.1112197,0.01150406,-0.00029497,-0.05473536,0.0075134,-0.00014854,0.00001432,1.133685,-0.00179727,0.2922058,0.2922058,0,0
