LineNo,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip,labels,labels
424709,503763414,0,0.1200089,0.1083981,0.1482388,0,4,0
426871,506163287,0,0.00320994,0.00327002,0.00299224,0,4,0
435120,516463332,0,0.00299813,0.0033165,0.0028645,0,4,0
145047,192963617,0,0.163687,0.1167748,0.2472649,0,0,0
430951,511263746,0,0.00295177,0.00276598,0.00277678,0,4,0
227087,284163789,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
6546,21363951,0,0.00265489,0.00283638,0.00288881,0,0,0
136590,183564045,0,0.1617634,0.1347747,0.2620354,0,0,0
25476,59563665,0,0.1023683,0.101971,0.1176389,0,0,0
290548,354663911,0,5.877801,3.383392,2.928133,0,3,0
145589,193563377,0,0.1602307,0.1240772,0.2823876,0,0,0
348551,419163934,0,0.1153352,0.1140877,0.1702586,0,0,0
56383,93863273,0,0.1213837,0.1325438,0.1889675,0,0,0
279108,341963993,0,0.1130733,0.120748,0.2059186,0,0,0
387259,462163394,0,0.1430491,0.153651,0.2425984,0,4,0
73156,112463330,0,0.122407,0.1345359,0.1716364,0,1,0
301813,367263869,0,0.0742076,0.09626222,0.00278231,0,3,0
259928,320663350,0,0.1118981,0.1234789,0.1478437,0,0,0
116488,161163842,0,0.1597752,0.1476487,0.2615084,0,1,0
61253,99263612,0,0.1166507,0.1176758,0.1489969,0,0,0
281627,344763706,0,0.1063277,0.1186307,0.1662092,0,0,0
253445,313463731,0,0.129316,0.1131159,0.142335,0,0,0
438645,520763278,0,0.00284672,0.00280243,0.00288984,0,4,0
104035,147163611,0,0.1682474,0.1375829,0.2566459,0,1,0
259749,320463430,0,0.1157696,0.1123311,0.165556,0,0,0
35112,70263550,0,0.1155607,0.1126314,0.1865724,0,0,0
98430,140863632,0,0.2046956,0.1486126,0.3434985,0,1,0
244798,303863406,0,6.00E-07,6.00E-07,6.00E-07,0,0,0
415976,494063962,0,0.1089991,0.1091343,0.1700903,0,4,0
344950,415163868,0,0.1211953,0.1068185,0.1748135,0,0,0
201376,255563567,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
28719,63163891,0,0.1138671,0.1111133,0.1805949,0,0,0
108126,151763437,0,0.1502335,0.128544,0.2454483,0,1,0
258215,318763277,0,0.1104432,0.1213969,0.1375241,0,0,0
97097,139363399,0,0.2013613,0.1365575,0.3362833,0,1,0
246062,305263679,0,0.1131329,0.1098887,0.2286739,0,0,0
435691,517163885,0,0.00284154,0.00301599,0.00290425,0,4,0
406160,483163324,0,0.1169487,0.1301216,0.1830852,0,4,0
283700,347063619,0,0.1338828,0.1341358,0.1906881,0,0,0
158186,207563608,0,0.1511948,0.1208398,0.2640678,0,0,0
178533,230163731,0,0.00341037,0.00132641,0.01369636,0,0,0
148379,196663803,0,0.1624292,0.1321507,0.2748104,0,0,0
210634,265863612,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
49894,86663654,0,0.1039567,0.1219017,0.1391213,0,0,0
209020,264063499,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
203709,258163360,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
255425,315663684,0,0.1120309,0.1126113,0.1481087,0,0,0
9505,25063304,0,0.00304903,0.00299119,0.00292323,0,0,0
229337,286663622,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
395815,471663759,0,0.1172891,0.1110795,0.174552,0,4,0
80281,120463462,0,0.1008957,0.1138239,0.1659091,0,1,0
347923,418463381,0,0.1134617,0.1063218,0.1719452,0,0,0
29711,64263451,0,0.1169932,0.116323,0.164252,0,0,0
131097,177463986,0,0.1444175,0.1319319,0.2954356,0,0,0
85177,125963761,0,0.1408079,0.1381137,0.2206592,0,1,0
350624,421463847,0,0.1101943,0.1174059,0.1767609,0,0,0
414984,492963569,0,0.105378,0.1246354,0.1752109,0,4,0
156115,205263695,0,0.1642579,0.1227068,0.2308585,0,0,0
208570,263563699,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
237155,295363474,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
189689,242563769,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
288023,351863365,0,0.2393905,0.3075178,0.1648594,0,3,0
21148,54763919,0,0.1352946,0.1373719,0.1955558,0,0,0
131998,178463586,0,0.1571949,0.1329847,0.2706038,0,0,0
437825,519763678,0,0.00297361,0.00259253,0.00277615,0,4,0
31872,66663324,0,0.1139025,0.1111386,0.1738719,0,0,0
322254,389963952,0,0.1150263,0.1032103,0.0028027,0,3,0
263801,324963296,0,0.1210964,0.1217246,0.1844274,0,0,0
174478,225663865,0,0.1209297,0.1195846,0.1931235,0,0,0
382496,456863848,0,0.1278057,0.1506591,0.223615,0,4,0
226548,283564029,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
74855,114363403,0,0.1075437,0.1150881,0.1674833,0,1,0
78234,118163549,0,0.1167865,0.1103256,0.1990416,0,1,0
337118,406464016,0,0.1849944,0.1372141,0.30586,0,0,0
45025,81263315,0,0.1093283,0.1153525,0.1994074,0,0,0
71979,111163850,0,0.1183413,0.1060092,0.179184,0,1,0
134336,181063379,0,0.1560699,0.1325036,0.2697759,0,0,0
330990,399663404,0,0.09299776,0.1142542,0.2451867,0,0,0
361063,433063372,0,0.1170234,0.1131815,0.1581494,0,0,0
250021,309663585,0,0.1261406,0.1161404,0.1841015,0,0,0
373404,446763723,0,0.1322913,0.1103047,0.1529569,0,4,0
94073,135963926,0,0.2641486,0.1675286,0.3614276,0,1,0
289559,353563518,0,1.981013,4.946922,27.605,0,3,0
406523,483563997,0,0.122731,0.1243657,0.2269318,0,4,0
343689,413763595,0,0.1219946,0.12435,0.16855,0,0,0
168715,219263926,0,0.1062225,0.1209762,0.1743895,0,0,0
324508,392463785,0,0.1181815,0.1084655,0.00268682,0,3,0
163041,212963947,0,0.1215754,0.1302717,0.2075076,0,0,0
319461,386863526,0,0.1078695,0.1060948,0.00286802,0,3,0
41058,76863409,0,0.107659,0.1159713,0.1766848,0,0,0
384741,459363681,0,0.1353648,0.1721506,0.2407781,0,4,0
240752,299363540,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
365655,438163831,0,0.1157351,0.1268221,0.1562559,0,0,0
327298,395563378,0,0.09964416,0.1083918,0.0027402,0,3,0
63326,101563525,0,0.104662,0.1162508,0.1700665,0,0,0
37097,72463503,0,0.1250897,0.1154986,0.1710945,0,0,0
22230,55963439,0,0.1105973,0.1302947,0.193873,0,0,0
394826,470563366,0,0.1257314,0.1034085,0.1686267,0,4,0
266050,327463962,0,0.1232431,0.1296605,0.193906,0,0,0
38898,74463536,0,0.1291677,0.1154496,0.1910126,0,0,0
186536,239063503,0,6.00E-07,6.00E-07,6.00E-07,0,0,0
398868,475064065,0,0.1119733,0.1181766,0.1603217,0,4,0
421918,500663821,0,0.1122377,0.1115477,0.1461344,0,4,0
66391,104963831,0,0.1207251,0.11764,0.1849781,0,0,0
112576,156763936,0,0.154953,0.1275673,0.2507022,0,1,0
103056,146064051,0,0.1747141,0.1292777,0.2836305,0,1,0
361425,433464045,0,0.1083747,0.1204547,0.1902077,0,0,0
115156,159663609,0,0.1498322,0.1287582,0.2544947,0,1,0
61792,99863372,0,0.1197727,0.1141066,0.1744757,0,0,0
129653,175863793,0,0.1462006,0.1301188,0.2728947,0,0,0
337745,407163736,0,0.1905864,0.1549516,0.3012678,0,0,0
372055,445263490,0,0.1123216,0.1251665,0.1833729,0,0,0
386269,461063834,0,0.1369649,0.1420807,0.2433431,0,4,0
138571,185763998,0,0.1716183,0.1255578,0.2795473,0,0,0
308477,374663408,0,0.0863885,0.08092275,0.00284458,0,3,0
183397,235564070,0,6.00E-07,6.00E-07,6.00E-07,0,0,0
87045,128063754,0,0.1876578,0.133299,0.2376999,0,1,0
162599,212463314,0,0.1251528,0.1284653,0.2027091,0,0,0
434217,515363772,0,0.00296611,0.00302202,0.00265709,0,4,0
165831,216063540,0,0.1118086,0.1112937,0.1885235,0,0,0
357099,428663466,0,0.1148209,0.1248544,0.1645836,0,0,0
411835,489463303,0,0.1188713,0.1092803,0.1443869,0,4,0
140095,187463318,0,0.1624613,0.1273955,0.2600532,0,0,0
40248,75963769,0,0.1231266,0.1097919,0.1435039,0,0,0
168354,218864086,0,0.1145458,0.1195857,0.1584833,0,0,0
237597,295863274,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
116312,160963922,0,0.1420825,0.1332174,0.2619295,0,1,0
142886,190563744,0,0.1607717,0.1291929,0.2595248,0,0,0
44843,81063395,0,0.1152596,0.1177851,0.1760374,0,0,0
340898,410664002,0,0.1388595,0.1189629,0.2300403,0,0,0
330539,399163604,0,0.1566399,0.162768,0.4646921,0,0,0
154314,203263662,0,0.1640103,0.1322,0.2237791,0,0,0
69458,108363304,0,0.120676,0.1273541,0.2123471,0,1,0
216653,272563431,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
438972,521163951,0,0.00262228,0.00286126,0.00273863,0,4,0
282350,345563386,0,0.1083343,0.1313048,0.1597201,0,0,0
137128,184163805,0,0.1453072,0.1284741,0.2814659,0,0,0
125962,171763767,0,0.1263378,0.1284129,0.1762606,0,0,0
364394,436763558,0,0.1272802,0.09840064,0.1711416,0,0,0
361782,433863885,0,0.1235469,0.1052086,0.1765727,0,0,0
340358,410063409,0,0.1341562,0.1262534,0.2390207,0,0,0
295546,360263337,0,0.1972038,0.4220083,0.4160017,0,3,0
348102,418663301,0,0.1320444,0.1247222,0.149569,0,0,0
31241,65963604,0,0.1135715,0.1104796,0.1634025,0,0,0
275322,337764007,0,0.1146014,0.1246156,0.2234606,0,0,0
285590,349163612,0,0.1275309,0.1079266,0.1832559,0,0,0
345579,415863588,0,0.1163666,0.1242004,0.2138236,0,0,0
145497,193463417,0,0.1756372,0.1203845,0.3006205,0,0,0
385640,460363281,0,0.1338941,0.1443266,0.2259581,0,4,0
142795,190463784,0,0.1653177,0.1457653,0.2496589,0,0,0
143876,191663304,0,0.154044,0.1377652,0.2536573,0,0,0
175739,227063305,0,0.1205126,0.1175675,0.2124828,0,0,0
392844,468363413,0,0.1158551,0.1176194,0.183281,0,4,0
91495,133063420,0,0.2666694,0.1635661,0.369397,0,1,0
194360,247763355,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
114710,159163809,0,0.1477771,0.1245441,0.2513115,0,1,0
253894,313963531,0,0.1133057,0.1203661,0.1593244,0,0,0
314601,381464020,0,0.07875077,0.08182842,0.0030302,0,3,0
358721,430463579,0,0.1238652,0.1195181,0.2005497,0,0,0
6865,21763791,0,0.00276793,0.00304901,0.00281669,0,0,0
274064,336363734,0,0.1158963,0.1144853,0.2226378,0,0,0
319554,386963486,0,0.10598,0.09804471,0.00277422,0,3,0
422908,501763381,0,0.1171916,0.1102907,0.1538297,0,4,0
364754,437163398,0,0.1397876,0.1201667,0.1829076,0,0,0
47819,84363741,0,0.1228417,0.1118897,0.1414294,0,0,0
119693,164764068,0,0.149606,0.1232892,0.252944,0,1,0
179162,230863451,0,4.33E-05,1.69E-05,0.00017395,0,0,0
215760,271563831,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
111775,155863463,0,0.1445302,0.1231582,0.2747348,0,1,0
296258,361063850,0,0.07931083,0.08195398,0.00812321,0,3,0
56294,93763313,0,0.1193974,0.1261012,0.2224108,0,0,0
64859,103263678,0,0.1295467,0.1227942,0.1769606,0,0,0
53947,91163520,0,0.1265689,0.1258398,0.1677252,0,0,0
238140,296463867,0,6.00E-07,6.00E-07,6.00E-07,0,2,0
59631,97463499,0,0.113942,0.1165417,0.1784053,0,0,0
397248,473263952,0,0.1132496,0.1212783,0.159185,0,4,0
