LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH,labels
438869,521063991,0,-0.08,-0.15,207.37,-0.02730027,0.0052123,-0.01459386,-0.0009803,-0.00180068,0.01326307,-0.03442659,0.08,0.08,0.1,20.36,4
70151,109163817,0,1.09,-7.17,327.51,3.325673,-2.096825,0.02530627,0.02731506,69.83681,-42.77103,-20.26577,0.06,0.07,0.05,20.36,1
401362,477863778,0,0.68,-1.24,207.7,-0.02855452,0.04985842,1.50917,1.520115,0.02044784,-0.01527537,-18.77291,0.1,0.13,0.14,20.36,4
421803,500563861,0,-1.42,0.77,207.81,-0.02999248,-0.00700045,0.4800511,0.5060366,0.00638985,-0.00910614,-2.06593,0.09,0.1,0.1,20.36,4
296058,360863930,0,-0.54,-0.03,327.21,-0.00667602,-0.1003729,0.1160154,0.01581959,155.1367,239.8656,2.233098,0.23,0.23,0.3,20.36,3
110773,154763903,0,3.23,-29.81,333.35,0.5654598,-0.1933917,-0.00963331,-0.03779171,20.937,-13.1888,-21.38124,0.08,0.25,0.13,20.36,1
255217,315463764,0,-1.76,1.88,154.55,-0.3460968,0.9290386,-0.0251209,-0.05145633,218.1668,200.7303,-19.70657,0.29,0.29,0.13,20.36,0
66185,104763911,0,1.28,1.72,329.09,3.068818,-1.797052,-0.00497865,-0.00909315,61.72892,-37.95227,-20.37745,0.06,0.06,0.04,20.36,0
108814,152563950,0,2.66,-29.98,333.5,-0.08154087,0.3090181,-0.03799434,-0.05826686,18.80071,-11.57938,-21.27958,0.08,0.25,0.14,20.36,1
249367,308963865,0,9.38,12.45,181.33,-0.8140481,1.296076,0.3677949,-0.5086057,228.3983,193.4538,-19.46095,0.25,0.08,-0.15,20.36,0
162834,212764027,0,-6.53,-19.44,42.01,2.050337,2.110257,0.03602486,0.03752657,242.3805,-13.30484,-21.78767,0.12,0.2,0.13,20.36,0
226881,283963869,0,27.41,15.48,104.35,6.989842,3.883886,-0.6531085,-2.242735,258.9778,159.685,-22.68204,0.22,0.06,-0.14,20.36,2
78567,118563389,0,-0.67,-18.91,335.2,2.95892,-1.44966,-0.01398202,-0.01531239,86.89736,-54.46364,-20.28856,0.07,0.08,0.06,20.36,1
259362,320063590,0,0.64,4.14,158.08,-0.8313247,0.7743837,-0.1234525,-0.1142803,209.7391,205.1869,-19.42579,0.24,0.31,0.18,20.36,0
308540,374763368,0,-0.2,-0.18,317.72,0.03845411,-0.03885752,-0.02088129,-0.00699203,155.1436,239.9023,1.929122,0.19,0.22,0.3,20.36,3
438786,520964031,0,-0.08,-0.15,207.38,-0.02707554,0.00521485,-0.01457881,-0.0004994,-0.00145655,0.01317444,-0.0342732,0.08,0.08,0.1,20.36,4
107478,151063717,0,-0.33,-30.01,331.34,-0.6903738,0.7373005,-0.00887809,-0.02410204,17.16524,-10.34924,-21.22917,0.08,0.24,0.15,20.36,1
106499,149963324,0,2.92,-29.99,331.73,-1.195377,1.092088,-0.01616112,-0.03341344,15.94086,-9.425397,-21.19939,0.08,0.23,0.15,20.36,1
427690,507163720,0,-0.06,-0.15,207.9,-0.02544844,0.00471814,-0.00220094,0.03022529,0.00179076,0.01270733,-0.05302346,0.09,0.09,0.1,20.36,4
427612,507063760,0,-0.07,-0.15,207.91,-0.02564309,0.00488175,-0.00220269,0.03157937,0.001571,0.01273269,-0.05584598,0.09,0.09,0.1,20.36,4
189123,241964009,0,-30.37,2.87,88.43,-5.248207,5.289527,0.04191102,-0.8725918,246.5109,37.42417,-27.58271,0.19,0.12,0.11,20.36,2
22836,56663992,0,-0.03,-1.85,3.03,0.00699591,0.02941814,-2.303582,-2.351926,0.01550327,-0.01192518,-12.20919,0.01,0.02,-0.06,20.36,0
23015,56863912,0,-0.23,-1.51,2.96,0.00506532,0.02031506,-2.315569,-2.362232,0.01751303,-0.00936688,-12.68238,0.01,0.02,-0.06,20.36,0
377430,451263589,0,25.39,-8.66,205.84,-0.1806943,-9.482478,0.0081122,0.03716567,2.103992,165.5642,-19.84706,0.14,0.15,0.15,20.36,4
84973,125763841,0,-0.51,-31.49,329.34,6.374832,-3.360663,0.01625694,-0.04300675,36.01714,-21.22137,-20.65576,0.07,0.07,0.08,20.36,1
399112,475363945,0,0.69,0.98,207.67,-0.04187921,0.04035097,-0.02444141,-0.0250891,0.06784425,-0.1001164,-19.88936,0.1,0.13,0.14,20.36,4
210698,265963572,0,-27.39,11.07,88.2,-3.01791,4.234584,-0.2505245,-1.197623,248.0381,112.9488,-22.29193,0.21,0.12,0.05,20.36,2
268633,330363635,0,-1.49,1.99,150.32,-0.6366268,0.5906233,-0.00212469,-0.00018361,192.3024,215.6481,-18.99316,0.23,0.27,0.25,20.36,0
68531,107363704,0,1.81,-0.36,329.27,0.6038621,-0.3240336,0.03711402,0.03524695,66.20667,-40.58134,-20.3782,0.06,0.07,0.04,20.36,1
278631,341463360,0,1.34,-17.02,148.0,-1.495189,0.9849362,0.02467606,0.03911209,175.049,226.6214,-18.68319,0.22,0.25,0.3,20.36,0
164275,214363387,0,-0.54,1.87,40.4,2.246557,1.473482,-0.00038854,0.01103553,246.7795,-10.28174,-21.74788,0.14,0.19,0.13,20.36,0
356803,428363586,0,-1.91,3.43,206.8,-1.381269,-0.6117579,-0.01337582,0.00033367,22.63131,206.2797,-19.75443,0.16,0.17,0.18,20.36,0
414867,492863609,0,0.3,1.53,207.77,-0.02649188,-0.01053672,0.4791317,0.500106,0.00689742,0.02531343,-5.901074,0.09,0.11,0.11,20.36,4
153566,202463982,0,-3.4,-27.56,131.8,-6.219539,7.610101,0.02860031,0.01146514,277.8325,-78.02589,-21.72262,0.11,0.19,0.1,20.36,0
210248,265463772,0,-4.67,30.47,94.41,-0.5568978,5.546479,-0.9245686,-1.814343,250.7384,110.7858,-21.92646,0.21,0.12,0.06,20.36,2
412798,490563696,0,-1.55,0.07,207.73,-0.04085769,0.00331724,0.4922387,0.5076725,0.00548677,0.01932377,-7.063375,0.09,0.11,0.12,20.36,4
296322,361163810,0,-0.54,0.0,327.08,-0.02654257,-0.09851819,0.1067799,-0.00147024,155.1233,239.8603,2.235106,0.23,0.23,0.3,20.36,3
326820,395063578,0,-0.22,-0.07,295.22,-0.00369475,-0.02098776,-0.01211271,0.00029173,155.1097,239.9197,1.922895,0.17,0.18,0.25,20.36,3
88088,129263274,0,0.66,-28.28,329.29,2.646801,-0.4765891,-0.01297177,0.1292699,36.05832,-19.80028,-20.52909,0.06,-0.01,0.09,20.36,1
271694,333763941,0,1.08,2.19,155.01,-1.924415,1.104111,-0.01010276,0.00076496,185.7339,219.1533,-18.87644,0.23,0.26,0.26,20.36,0
123145,168663341,0,5.51,26.67,357.18,3.569726,-2.041284,0.01914411,0.00950653,518.0602,-267.704,-21.54906,0.09,0.17,0.1,20.36,0
438377,520463398,0,-0.08,-0.15,207.4,-0.02752756,0.0051265,-0.01448068,-0.00100152,-0.00193967,0.01304901,-0.03393363,0.08,0.08,0.1,20.36,4
7004,21963711,0,0.03,0.02,3.29,-0.01006597,0.01025377,-0.00700562,0.00194311,0.0,0.0,-0.01726629,0.0,0.0,-0.62,20.36,0
11805,27963810,0,0.05,0.03,2.61,-0.01767367,0.01729177,-0.0024548,0.00147564,0.0,0.0,-0.00844396,0.0,0.01,-0.35,20.36,0
154648,203663502,0,1.13,-28.34,126.18,-6.012465,7.858072,0.02609161,0.01107421,270.4927,-68.71247,-21.70274,0.11,0.19,0.1,20.36,0
300795,366163476,0,-0.37,-0.1,324.63,-0.04732798,-0.06782117,0.01298349,-0.03413029,155.0514,239.8765,2.108165,0.21,0.23,0.3,20.36,3
159240,208763961,0,-4.15,-12.17,103.01,-2.048617,7.237094,-0.01081433,-0.02796906,244.2378,-27.72874,-21.78408,0.12,0.2,0.11,20.36,0
252788,312764011,0,1.1,-5.36,159.39,-3.04264,1.254012,0.1874857,-0.01123276,223.0652,196.3179,-19.80833,0.31,0.24,0.09,20.36,0
225979,282963436,0,-25.46,-13.06,100.82,2.246439,1.508616,0.05620391,-1.530094,250.3345,155.4112,-21.54634,0.23,0.05,-0.16,20.36,2
109437,153263670,0,-0.91,-29.75,333.92,0.1409532,0.1120594,-0.02812955,-0.0493122,19.52956,-12.12557,-21.31707,0.08,0.25,0.14,20.36,1
221400,277863810,0,-31.1,-3.66,98.14,-3.208969,2.703899,1.546605,0.4900981,248.0609,143.4898,-20.18279,0.24,0.03,-0.19,20.36,2
167338,217763693,0,-1.92,1.41,33.15,0.1300507,0.03036626,0.1528432,0.1580134,250.0235,-8.22183,-21.51226,0.15,0.19,0.14,20.36,0
15893,48963740,0,0.1,0.09,1.4,0.00199028,-0.00166961,-0.00047521,-7.906e-05,0.00061074,-0.00054278,-0.00051875,0.01,0.02,-0.07,20.36,0
313673,380463587,0,-0.21,-0.13,312.09,0.02033131,-0.02867672,-0.01693074,-0.00030822,155.1305,239.9117,1.912698,0.18,0.2,0.29,20.36,3
212771,268263485,0,29.47,4.66,87.64,3.276028,3.093002,2.756836,1.764504,252.4768,115.1868,-18.95835,0.21,0.13,0.07,20.36,2
41844,77763882,0,0.17,-8.79,329.72,0.6717756,-0.3665218,-0.00667991,-0.01320182,9.318683,-5.772437,-20.09368,0.04,0.05,-0.01,20.36,0
267913,329563955,0,-1.67,3.55,150.23,-1.222241,0.9764935,-0.01864043,-0.0072071,193.0737,215.0552,-18.98867,0.23,0.27,0.24,20.36,0
21573,55263719,0,-0.2,-1.67,2.8,0.00552235,0.03014136,-2.187382,-2.237884,0.01337283,-0.02512597,-8.992192,0.01,0.02,-0.06,20.36,0
268722,330463595,0,1.43,3.87,150.24,-0.5728695,0.5467811,0.00013661,0.00181696,192.2359,215.698,-18.99301,0.23,0.27,0.25,20.36,0
93157,134963493,0,-1.21,-32.74,329.26,-3.108421,3.23637,-0.05335614,-0.1580259,20.18793,-9.129365,-20.73124,0.07,-0.02,0.12,20.36,1
406854,483963837,0,1.31,-1.1,207.67,-0.03921978,-0.01682311,0.4016753,0.4367819,0.00840825,0.02370523,-10.28743,0.09,0.12,0.13,20.36,4
44458,80663555,0,0.62,4.76,327.16,1.9941,-1.290394,0.00513738,0.00371759,16.26442,-10.11969,-20.09937,0.04,0.04,-0.01,20.36,0
240186,298763780,0,3.38,38.96,169.46,-5.265379,-0.1504049,9.459671,6.986334,242.8159,191.3133,-16.71505,0.25,0.06,-0.17,20.36,2
363919,436263758,0,-0.4,-12.03,207.12,-3.399301,-1.709432,-0.00442327,0.00112144,9.082836,200.5908,-19.78016,0.15,0.15,0.17,20.36,0
32566,67463837,0,-1.5,0.52,3.24,-0.0249763,0.02059078,-0.03161399,-0.00782957,-0.2628667,-0.1800211,-20.25998,0.03,0.03,-0.04,20.36,0
433702,514764012,0,-0.07,-0.16,207.63,-0.02821697,0.0018398,-0.01250357,-0.00148139,-0.00203863,0.01031716,-0.02624062,0.08,0.08,0.1,20.36,4
296862,361763570,0,-0.54,0.03,326.81,-0.06157433,-0.09341683,0.09232127,-0.01165963,155.0983,239.8606,2.23193,0.23,0.23,0.3,20.36,3
256930,317363837,0,-1.71,-13.47,160.52,-3.120489,1.519887,0.08948547,0.1495534,215.5075,201.9042,-19.56929,0.25,0.3,0.15,20.36,0
276107,338663647,0,1.01,1.8,145.93,-1.858513,1.429971,-0.01459273,-0.00728846,177.7901,224.537,-18.69631,0.23,0.25,0.29,20.36,0
314932,381863860,0,-0.21,-0.12,310.72,0.01799474,-0.02923688,-0.01597744,0.00030549,155.1274,239.9124,1.913005,0.18,0.2,0.29,20.36,3
345194,415463748,0,1.58,-8.3,197.53,-0.8913805,-0.3351434,-0.03625872,-0.00570899,49.45201,217.2325,-19.53915,0.16,0.18,0.2,20.36,0
261435,322363503,0,0.39,-16.0,158.05,-3.272905,1.384042,0.00704587,0.04571493,206.7222,206.504,-19.29215,0.22,0.29,0.19,20.36,0
15625,48663860,0,0.09,0.08,1.41,0.00245357,-0.00231992,-0.00045234,-0.00013803,0.00036584,-0.00032208,-0.00049658,0.01,0.02,-0.08,20.36,0
93782,135664046,0,-2.61,-29.15,329.01,-3.529296,3.434551,0.02603601,-0.1431118,18.57929,-8.471297,-20.8383,0.08,-0.01,0.12,20.36,1
